pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_unsplit_ada,pi_unsplit_ada,f_half_ada,pi_half_ada,pi_split_sum_ada,delta_pi_ada,split_increases_pi,split_decreases_pi,f_unsplit_c50_ada,pi_unsplit_c50_ada,f_half_c50_ada,pi_half_c50_ada,pi_split_sum_c50_ada,delta_pi_c50_ada,split_increases_pi_c50,split_decreases_pi_c50
pool187k9uqvh2dacad2qyfyex7ct8q0jxepk45026s9h7mkxx9pn7at,CHESS,2338.71876,750.0,1047.052111,340.0,0.01,True,0.6945886736678761,0.6945886736678761,0.3472939944845436,0.3472939944845436,0.6945879889690872,-6.846987888886602e-07,False,True,0.6945886736678761,0.6945886736678761,0.3472939944845436,0.3472939944845436,0.6945879889690872,-6.846987888886602e-07,False,True
pool18872nzahx0h2f7j58pxrn5rjektn8na8p4amv08x2xj8qkht30g,MNKY,591730.511536,20000.0,178369.704745,340.0,0.01,True,175.75402804168513,175.75402804168513,87.87372741772589,87.87372741772589,175.74745483545178,-0.006573206233355222,False,True,175.75402804168513,171.77467471957803,87.87372741772589,87.87372741772589,175.74745483545178,3.9727801158737464,True,False
pool188837cdkhad7w2dwk2arsldyre3tcva8aardadf4ekc0j56267t,CAOW,847.833359,100.0,100.0,340.0,0.0,True,0.2518021826216642,0.2518021826216642,0.12590106982472252,0.12590106982472252,0.25180213964944503,-4.2972219171932835e-08,False,True,0.2518021826216642,0.2518021826216642,0.12590106982472252,0.12590106982472252,0.25180213964944503,-4.2972219171932835e-08,False,True
pool188ah5thmetn7vx5g5ugsq3xr0mwy672twqawn36qnzqmjrdftfp,IGUD,217787.93753,100000.0,104999.656326,340.0,0.005,True,64.69545336502517,64.69545336502517,32.34433040096851,32.34433040096851,64.68866080193702,-0.0067925630881546795,False,True,64.69545336502517,64.69545336502517,32.34433040096851,32.34433040096851,64.68866080193702,-0.0067925630881546795,False,True
pool1892ry20mvu6tvrmuua5gdmk7unw30w7tf8scpllpyq8w2sdwvc7,1GURU,59654.313452,20000.0,20013.205728,170.0,0.0,True,17.71793253997878,17.71793253997878,8.858738275069728,8.858738275069728,17.717476550139455,-0.00045598983932393367,False,True,17.71793253997878,17.71793253997878,8.858738275069728,8.858738275069728,17.717476550139455,-0.00045598983932393367,False,True
pool189elcklfyhaczaasjdyrrxmhaeepg6avn9gxjte78ntny5fqdl7,AIOA,68894.440762,6000.0,13519.299038,340.0,0.0,True,20.46172419832042,20.46172419832042,10.230753663848505,10.230753663848505,20.46150732769701,-0.00021687062341158025,False,True,20.46172419832042,20.46172419832042,10.230753663848505,10.230753663848505,20.46150732769701,-0.00021687062341158025,False,True
pool189j5mz6wa0gfrakwvn2tar7qt309qxrmsgde5v6qwm892n6re3v,CCJ,3564347.390129,100000.0,100250.720882,170.0,0.048,True,1058.9912971387776,236.47514353952909,529.3959159794548,196.87416083728576,393.7483216745715,157.27317813504243,True,False,1058.9912971387776,157.83109687568185,529.3959159794548,118.2301141734385,236.460228346877,78.62913147119514,True,False
pool189lfh7azuvxu0hyskwahnp35rtez0mzhsmule3742p3jkza00cq,SEBI,3169774.192544,1000.0,1012.470893,170.0,0.0,True,941.4100858284884,170.24639933667993,470.704132473474,170.09604917039528,340.19209834079055,169.94569900411062,True,False,941.4100858284884,85.2735495438169,470.704132473474,85.12319937753225,170.2463987550645,84.97284921124759,True,False
pool189lsf6c2upyhmrzddyvyfjxxkqnte9pw8aqx7f4cuf85sjxlm02,CRDN2,43365790.905497,100000.0,101911.685597,340.0,0.02,True,12884.393004194053,619.7781859599127,6440.951018418199,476.0697969198384,952.1395938396768,332.3614078797641,True,False,12884.393004194053,453.56970393908347,6440.951018418199,309.8613148990091,619.7226297980181,166.15292585893468,True,False
pool189vq6ay0gku9tkqc2t3nfjk3n88mm23grmfas852jruw6fjlkaf,WEP,1824801.874979,50000.0,51816.045974,340.0,0.05,True,542.058714723623,355.5536038911022,271.0038360121285,271.0038360121285,542.007672024257,186.45406813315475,True,False,542.058714723623,198.6394669042566,271.0038360121285,177.77483742269308,355.54967484538616,156.91020794112956,True,False
pool189ysyxejgdu0d5u323cajq40ec6wsacq3yav3ul7fdxs6mhdhr0,,3790.376532,5.0,14.388712,340.0,0.01,True,1.1257221319074309,1.1257221319074309,0.5628610605158165,0.5628610605158165,1.125722121031633,-1.087579781788861e-08,False,True,1.1257221319074309,1.1257221319074309,0.5628610605158165,0.5628610605158165,1.125722121031633,-1.087579781788861e-08,False,True
pool18a8vhtlcz7t0mahmfdlgtpsspvae62egz936j3dt7f9ykr4j2av,,525.042337,500.0,525.042337,340.0,0.15,True,0.15593485689067413,0.15593485689067413,0.07796742484714005,0.07796742484714005,0.1559348496942801,-7.196394036235176e-09,False,True,0.15593485689067413,0.15593485689067413,0.07796742484714005,0.07796742484714005,0.1559348496942801,-7.196394036235176e-09,False,True
pool18aklqwussc7j6y9nap8vxst4ht8s6sv76ge9799rzv3lcrau7yg,,472.976532,250.0,356.622907,340.0,0.0,True,0.14047163335591104,0.14047163335591104,0.07023580066189795,0.07023580066189795,0.1404716013237959,-3.203211512703419e-08,False,True,0.14047163335591104,0.14047163335591104,0.07023580066189795,0.07023580066189795,0.1404716013237959,-3.203211512703419e-08,False,True
pool18au4xxwcu552tjyxgyfssc95lwcf08g49z0ln5f7l060qh8r3wv,STBL3,1.430897,0.0,1.430897,340.0,1.0,True,0.0004249689646019724,0.0004249689646019724,0.0002124844823009862,0.0002124844823009862,0.0004249689646019724,0.0,False,False,0.0004249689646019724,0.0004249689646019724,0.0002124844823009862,0.0002124844823009862,0.0004249689646019724,0.0,False,False
pool18c2qgn5fv5vfhsvqjvn20j943qjaegs0dylgpsmmwz2lx03n76k,BETTR,121235.465198,35000.0,39.77146,340.0,0.01,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,False,False
