pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,f_ada_k1000,desirability,role,free_space_ada,rank,received_ada,sigma_after_ada
pool125kh7e0y9lwya4sz5etmsk7hvga9jtfpuhw00vz9zvk6sh8xh5r,CHOCO,7757931.71301,10000.0,93963.622359,170.0,0.0,2304.243488453141,0.0002751047015371415,receiver,32242068.28699,98.0,32242068.28699,40000000.0
pool16hs0jxw7h6pwg3ru7rcq3yvg4csj7lhmcpj68kqem2sh5nt8mwk,NUFI7,25305884.814751,1000.0,1002.83078,340.0,0.03,7515.7742977901635,0.00027505464123503507,receiver,14694115.185249,99.0,14694115.185249,40000000.0
pool1jz5ljsnj4fzmk84j0wcw9ldy866dn07nzqg2ktyuyjvfvr3jgtq,DIGI4,30973280.350189,215000.0,215031.763262,340.0,0.04,9214.187978172577,0.0002750506359909563,receiver,9026719.649811,100.0,9026719.649811,40000000.0
pool1vs689gkmqtrljtmcwd2690nzqm2yyq23wk2zzx5g0v0gs5ug64a,VAMP,15752963.751546,750000.0,871985.885794,340.0,0.008,4704.93677210158,0.0002748700083500045,receiver,24247036.248454,101.0,24247036.248454,40000000.0
pool104gtn3hvp9lz5l6wevhjj98e45s7rfaa4zzvk9pex7nn786qncr,PILOT,14870603.710077,325000.0,325050.0,340.0,0.0,4427.4507548663805,0.0002748678422582492,receiver,25129396.289922997,102.0,25129396.289922997,40000000.0
pool1nhlv5z2lsptzgcp9ype0mppc7zyndm66ypm4sw5hy27ewdchqx0,PPCX2,27598878.320191,1000.0,13729.288417,340.0,0.035,8196.786709907465,0.00027471403319728223,receiver,12401121.679809,103.0,12401121.679809,40000000.0
pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq,NUFIB,24594658.61133,1000.0,1004.645511,340.0,0.03,7304.542180820071,0.0002746777673215342,receiver,15405341.388670001,104.0,15405341.388670001,40000000.0
pool1asfgkqtmjuusclgx72xpzvpw336gkulchtstsx9lsj9uqzjckv0,BASHO,24288366.153241,4.0,4917.104473,340.0,0.03,7213.518607939077,0.00027450644508713603,receiver,15711633.846758999,105.0,15711633.846758999,40000000.0
pool107rsdzswa5s3y8wk5z62tgh5lhm790dsyqjp4lq66fht7qnaq9d,WORLD,25216220.127326,1080.0,10161.909195,500.0,0.01,7489.14878261484,0.00027439708488626795,receiver,14783779.872674,106.0,14783779.872674,40000000.0
pool164xvrnwxg0xwhkcm0fsnlzmtj3ptp5s7hne32k4dyv60x4utfje,,23705409.510386,200.0,1317.786751,340.0,0.03,7040.394191878634,0.00027417296306459985,receiver,16294590.489613999,107.0,16294590.489613999,40000000.0
pool1xmsdhync6k6grkkj7tuycskjpseykpr24luhlazl5nsngsy87gm,EVE3,34908842.618415,1000.0,1496.484437,400.0,0.04,10367.824877880648,0.000274117133798001,receiver,5091157.381585002,108.0,5091157.381585002,40000000.0
pool1fqwnqk3phwa2s5thgym8dw34pv0z67m526uqprnjh93cvzxymef,NUFI9,23602635.32783,1000.0,1003.650337,340.0,0.03,7009.914146519022,0.00027411416700976837,receiver,16397364.672169998,109.0,16397364.672169998,40000000.0
