pool_id,pool_ticker,sigma_ada,f_ada_a0_0.3,fixed_cost_ada,margin,desirability_ada
pool126ut5j5qz5wg09sjxrjugmjhqyslgam9cyj7a275y99l6n3gql0,BIOME,5516.81282,1.6384647134,340.0,0.02,0.0
pool127cp6le6v4hs453tkwnjd6ua9fcmmh7y5zc44zx752yzklgcrcq,IPMCo,1442.48367,0.4284101454,340.0,0.06,0.0
pool127gdv243hfcrapslaqq0nnh64u2gts72gtrt4888g6g2z0zsu64,TTS17,1165746.560976,346.4029333954,340.0,0.01,6.338904061445998
pool127jufnlxk4n6he84qjf8ppzmxs9sjnqlhulnuzsk0uc0whtl9sn,WILDR,31110.339119,9.2398725841,340.0,0.0,0.0
pool127xwsah7jllutuhen8vl7sve5278h7hhxtnys3cl438dyhuwgjg,ARTZ,2380628.940652,708.0080691049,340.0,0.02,360.64790772280196
pool127xz8pls3lr6nct6w274ph2g4u83vqajgykf3l9ll772gvmju8z,,2162.16716,0.642152713,340.0,0.0,0.0
pool128r8qqgl9zgy3ff4759a2qslyauu5takaec3nxx4a6mvj3ys8da,BTCAO,1491555.53618,443.0207294,700.0,0.0,0.0
pool128sj7hpet8874ycvxml85wlv9eyd8pehjhnj3clcvhrr5g5s9qj,BIZ,25021.3693,7.4313954202,340.0,0.01,0.0
pool12a4mx8ztxg7dwatm6lmfm36q7eyygkt3y3h29tklvcp6vyxp0nt,,14785.014207,4.3910723467,340.0,0.03,0.0
pool12ahcpgfgzkm29zajw8fgfqjma6ngsks7zdk4tr7q280pwfvtlek,BNP,32128043.520627,9543.4275215565,345.0,0.06,8646.521870263108
pool12ame5t8hdltyl30npznvhn23kxnvthk82j9p7dr4uew3y92uqes,EoK,81651.547632,24.2500874177,340.0,0.01,0.0
pool12cc8t9yr58xureweksj73v87xkm6svcs8j3xnt93zd5zw5q6ugr,,0.0,0.0,340.0,0.0,0.0
pool12cmz6vtm43tztqck4xnayhpmeml4ljxutvuexhwgsvrpwllnscv,PUWSP,7598.555142,2.2567314549,340.0,0.6,0.0
pool12d3th585ga2w593eu5zqnkahsnlczjpqxemjc0qhku7awnhvn8a,H3ART,171544.280445,50.9499705244,340.0,0.0,0.0
pool12dcwy586prq83qggtfvaxwdpys9dw4sl2yahrdjyjxsqzcq84rk,,1863101.150722,553.4121680309,170.0,0.0,383.41216803090003
pool12e8xz54gjtcz6dzkhua9uq9dp23cqcmf6xc4929t4ep4ketccsm,SOCK,32836.442065,9.7525457443,170.0,0.0,0.0
pool12eht6dqxpzqj87xuextrpufz2gxmt4reuesuw26r2utzw0kw906,CAN1,6368382.236304,1892.1477321523,200.0,0.0,1692.1477321523
pool12f2r9xf4wvht030xwjhpjvy5yptr275qr2qcydnx57jkxyfzz2w,FREE1,501185.996294,148.8935445867,170.0,0.0,0.0
pool12f68ksfmsthe4r9xx2up9x4zx43tstu3psmjvk57papsv8vu9re,,1093.094791,0.324643466,340.0,0.0,0.0
pool12fvqhdv6wx77zkjdq06k5ylzswd06w7yavt8fd6sm5pwk30k9l4,,0.0,0.0,360.0,0.05,0.0
pool12fzerww0hmk0fyvaujz5t2kg6hl4n8daz85rqy5jk8qk58r59y6,ZETE2,102085.687836,30.3191974122,170.0,0.0,0.0
pool12g6gfm5c4q7rzwwxdmh0xdxk07tyvujp6d9tke2m46k7q7cz7p0,NDE,114243.911768,33.9302772516,340.0,0.03,0.0
pool12h408zlkavwxw4wkw96mt8unjs8sn27k0yk4yhz4pzvsx0wvmq5,,579.88263,0.1722221257,340.0,0.075,0.0
pool12hhrd4azpps5jxppcqs2pgtylatg7xkhaqmnetgv2988k3t4drf,YAM,6208.049253,1.8437616101,340.0,0.0249,0.0
pool12hszgt63rau649xhfuy4mjmdukzpy0atyskd7hujl7zdxjv7e8c,,7.304864,0.0021695066,340.0,1.0,0.0
pool12jqfrwhuv2jn0uymwmud2d63gp5drj08fjfart9dxgpu2tmj8a0,IOGP,2.925923,0.0008689839,500.0,1.0,0.0
pool12jzydsj2yjjn59zefvgz2q47rvfk950xckm5x4ejcdvucueg5c8,ZILLA,51.006764,0.0151487443,340.0,0.02,0.0
