pool_id,pool_ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,declared_fixed_cost_ada,margin,pledge_met,ratio_k500,category_k500,ratio_k1000,category_k1000
pool10zyf32q3w3n9x940j6yqgkwuegzn77p94wcmpku6gvmrqw8a97d,XSP,25947752.278328,20000.0,45362.472214,340.0,0.037,True,0.8433006066433202,losing_075_100,0.8433317371342424,losing_075_100
pool120s8wucgh9dnshf3xkvffq30lcf4kta9uzf35s44eulezc8puwj,REEF,9.802291,1.0,9.802291,340.0,0.01,True,3.92819564567191e-06,losing_lt_025,3.928195659321651e-06,losing_lt_025
pool122gfj3ynz5ch8cfkx0tt5dsfpnf36sujcvrvxzqjm28yym8vv8x,CTUTS,67.456466,500.0,2.618002,340.0,0.02,False,0.0,pledge_not_met,0.0,pledge_not_met
pool122gklgk6gep3dm5grag0kavzzxcwk4kxxrqegfygghjpgch6pns,,26415.60343,1.0,54.258533,340.0,0.05,True,0.010585857776765609,losing_lt_025,0.010585857817726817,losing_lt_025
pool122pmneflla304ptc7s5ws948u28zaek08k6hk3fmw8rgkzmgect,PBDOT,3262.347727,3100.0,3150.651545,340.0,0.01,True,0.0013073625081660772,losing_lt_025,0.0013073632904820264,losing_lt_025
pool1233gq8vt6nzytuw60sr9gy2jmehc88fpglrjrzsd8kys5gqelgg,,4079.358398,1000.0,2149.219284,345.0,0.01,True,0.0016347774871088355,losing_lt_025,0.0016347822625243618,losing_lt_025
pool123gn9my6u32zea8l3uk889rjj2qf2tfagcz67q4v4r9ccjjtge7,SNY,3543.776436,100.0,497.625746,345.0,0.15,True,0.0014201427351481543,losing_lt_025,0.0014201432691777747,losing_lt_025
pool124hy9qgc0nhqsve268kj5r53pvz7ppg295q6r2d0sjxswchljf0,BNP,32121961.703908,2.0,30945.794293,345.0,0.06,True,1.2211801865967953,edge,1.2211801926644077,edge
pool124lm97s6f4satl7xz0ulzgg6tv30tskry3zcntwrz68n60v5yne,SHARP,11058.880161,100000.0,672.752201,340.0,0.035,False,0.0,pledge_not_met,0.0,pledge_not_met
pool12582dmkl7xanxlmfnwd4fepmx4tt5kkw327mmklcjdxngwaxvh2,FGMTF,1001983.096233,2e-06,9.820727,170.0,0.1,True,0.24660202682485674,losing_lt_025,0.24660202682485705,losing_lt_025
pool12584mjtgz3fhgpx823qht56gycnfnezg6aqqthazv4qdxkd5c46,DOLCA,713579.760243,50000.0,75955.07085,170.0,0.02,True,0.23642492852261077,losing_lt_025,0.23643133785178766,losing_lt_025
pool1258yqnsegc3k7raqcdkxu4893aqexxljflmg9g96yfha2qytayv,1PCT2,560337.048234,50000.0,55087.895719,340.0,0.01,True,0.22459052556795542,losing_lt_025,0.22463017868956056,losing_lt_025
pool125kh7e0y9lwya4sz5etmsk7hvga9jtfpuhw00vz9zvk6sh8xh5r,CHOCO,7757931.71301,10000.0,93963.622359,170.0,0.0,True,0.2642636879296373,losing_025_050,0.2642651437121128,losing_025_050
pool1263z8symvqmmsg876y2lzluv29am2v9fpzka9sf3nrhz7uwlzap,LION,297273.492819,1000.0,1072.829681,170.0,0.005,True,0.11913061339990078,losing_lt_025,0.11913107284997493,losing_lt_025
pool126f65lklaqw39jgx9wl8klqtx99evewxk0x5yc2jzzp5wfs8fde,XPPX,536845.683641,119000.0,144631.572944,340.0,0.0,True,0.21521419649791604,losing_lt_025,0.21529175927592878,losing_lt_025
pool126kcx3ve6xedpdk8gm9gtgs5x2h77tuwe5hjjcrp2nshu2xv8l3,ADAAF,2939.165647,2500.0,2647.043882,340.0,0.0799,True,0.0011778506013255597,losing_lt_025,0.001177852304966721,losing_lt_025
pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag,NAP,18131001.028506,20000.0,22185.264157,340.0,0.03,True,0.6710803036840284,losing_050_075,0.671097834805113,losing_050_075
pool126ugnr0nxjxz72jrlzrqetqx0exn43t5w67u9vuq23xex4ym7dv,,109.61171,100.0,109.61171,345.0,0.15,True,4.3926083713585034e-05,losing_lt_025,4.3926085204141695e-05,losing_lt_025
pool126ut5j5qz5wg09sjxrjugmjhqyslgam9cyj7a275y99l6n3gql0,BIOME,5516.81282,10000.0,1.210482,340.0,0.02,False,0.0,pledge_not_met,0.0,pledge_not_met
pool127cp6le6v4hs453tkwnjd6ua9fcmmh7y5zc44zx752yzklgcrcq,IPMCo,1442.48367,200.0,1442.48367,340.0,0.06,True,0.0005780650491838259,losing_lt_025,0.0005780654345319543,losing_lt_025
pool127gdv243hfcrapslaqq0nnh64u2gts72gtrt4888g6g2z0zsu64,TTS17,1165746.560976,28000.0,156831.795235,340.0,0.01,True,0.4599795680500895,losing_025_050,0.4599866494770217,losing_025_050
pool127jufnlxk4n6he84qjf8ppzmxs9sjnqlhulnuzsk0uc0whtl9sn,WILDR,31110.339119,6000.0,12012.868419,340.0,0.0,True,0.012467472000913768,losing_lt_025,0.012467705700208918,losing_lt_025
pool127xwsah7jllutuhen8vl7sve5278h7hhxtnys3cl438dyhuwgjg,ARTZ,2380628.940652,1500000.0,2024253.871906,340.0,0.02,True,0.8832038101719935,losing_075_100,0.8852259563936242,losing_075_100
pool127xz8pls3lr6nct6w274ph2g4u83vqajgykf3l9ll772gvmju8z,,2162.16716,2000.0,2026.816204,340.0,0.0,True,0.0008664730036411858,losing_lt_025,0.0008664735071064032,losing_lt_025
pool128r8qqgl9zgy3ff4759a2qslyauu5takaec3nxx4a6mvj3ys8da,BTCAO,1491555.53618,1.0,21597.087334,700.0,0.0,True,0.5977298536447299,losing_050_075,0.5977298559576882,losing_050_075
pool128sj7hpet8874ycvxml85wlv9eyd8pehjhnj3clcvhrr5g5s9qj,BIZ,25021.3693,10000.0,13456.933998,340.0,0.01,True,0.01002736170521753,losing_lt_025,0.010027594792205406,losing_lt_025
pool12a4mx8ztxg7dwatm6lmfm36q7eyygkt3y3h29tklvcp6vyxp0nt,,14785.014207,50000.0,0.0,340.0,0.03,False,0.0,pledge_not_met,0.0,pledge_not_met
pool12ahcpgfgzkm29zajw8fgfqjma6ngsks7zdk4tr7q280pwfvtlek,BNP,32128043.520627,2.0,42438.594545,345.0,0.06,True,1.2254992837028558,edge,1.2254992898051051,edge
pool12ame5t8hdltyl30npznvhn23kxnvthk82j9p7dr4uew3y92uqes,EoK,81651.547632,30000.0,27.419621,340.0,0.01,False,0.0,pledge_not_met,0.0,pledge_not_met
pool12cc8t9yr58xureweksj73v87xkm6svcs8j3xnt93zd5zw5q6ugr,,0.0,900000.0,0.0,340.0,0.0,False,0.0,pledge_not_met,0.0,pledge_not_met
pool12cmz6vtm43tztqck4xnayhpmeml4ljxutvuexhwgsvrpwllnscv,PUWSP,7598.555142,2.0,12.621346,340.0,0.6,True,0.0030450648067299794,losing_lt_025,0.003045064830289985,losing_lt_025
pool12d3th585ga2w593eu5zqnkahsnlczjpqxemjc0qhku7awnhvn8a,H3ART,171544.280445,10000.0,12065.358034,340.0,0.0,True,0.06874760726373003,losing_lt_025,0.06875011336532366,losing_lt_025
pool12dcwy586prq83qggtfvaxwdpys9dw4sl2yahrdjyjxsqzcq84rk,,1863101.150722,10000.0,38522.997904,170.0,0.0,True,0.24008075055946443,losing_lt_025,0.2400813449616025,losing_lt_025
pool12e8xz54gjtcz6dzkhua9uq9dp23cqcmf6xc4929t4ep4ketccsm,SOCK,32836.442065,12600.0,12620.06001,170.0,0.0,True,0.013159356839073731,losing_lt_025,0.013159752548889734,losing_lt_025
