epoch,rank,pool_id,ticker,active_stake_lovelace,declared_pledge_lovelace,active_pledge_lovelace,n_owners
285,21,pool1kgwaa6fhpaqu8v4hrk35lzjhjsa6typ55ammszhd2q7zkxv5v40,BNP,65885137039654.0,2000000.0,3152235445.0,1
285,22,pool1jsv2hveu0n6sw7zesdcmc8cfle2xp5w7ma6qlt4xvh62cxly5wc,BNP,65884718740287.0,2000000.0,2934899612.0,1
285,23,pool1uezuqdzj9ue9y2l3ce9873sj33tz3q9tcf4tuhm97fdggywuydy,BNP,65884692245225.0,2000000.0,2897454174.0,1
285,24,pool1nwvfpwq36ea6ne5czpvpun7pr89qcg654kmu6ml4vjc2xzwlx4u,BNP,65880295900181.0,2000000.0,3329036803.0,1
285,25,pool1uzkf7xmg6p3p5nn8y0eknfgws8e8j94vklx590qra2kfxpsxwsa,BNP,65877102582083.0,2000000.0,2679678488.0,1
285,26,pool1ewd9g9zcz6tvlytk0plfj3e8jq645l0xr4n62epa49dgv9h43an,BNP,65872878320805.0,2000000.0,2586961172.0,1
285,27,pool1l7elukrgntsdwrt0hyu6sshw0rk05y82k4sjwse8u79hkhf862z,BNP,65872213776861.0,2000000.0,3065537649.0,1
285,28,pool18j42fxelgk53gumv8y7f039mscg6kl2lvmktfcs5aymqvx728d8,BNP,65871306584480.0,2000000.0,3242362005.0,1
285,29,pool1grlhzfvd93ea4832tm36hwd7y4h8ghnlwnp3awx5heffjttgf0u,BNP,65861853651590.0,2000000.0,2720159531.0,1
285,30,pool1wfvreaqszfzxe5w2swwpqpy7e4jax9nyky0x855xqswkzq4v7zf,BNP,65861533086201.0,2000000.0,3242120716.0,1
285,31,pool18kpfz02v3knfp24k4a3zv50h5eva5s90slwtfvae3n5rq4zfget,BNP,65861261515655.0,2000000.0,2288113054.0,1
285,32,pool1ys6fndfj9r6e2waeqmy27raejcqzm4u8ztjrp2naz95kgwyv9qu,BNP,65856788406412.0,2000000.0,2673535706.0,1
285,33,pool1vfdw3j9246kkem4lychnsqj9edsmfglfvxvmyl4ekqddj92e33f,BNP,65852463528875.0,2000000.0,3021553940.0,1
285,34,pool1vcnevxtlwswfh8cdnqc9xrgpxq8wt33l2jtcfle2eqwpwd9997d,BNP,65849840444429.0,2000000.0,3024623958.0,1
285,35,pool19nu8lt0vwycv0eqezpyjquawfklxtjjx9s0ac0f22mgp2ggpsvy,,65848894112645.0,2000000.0,3021582527.0,1
285,36,pool162ejhdrf7m5te4hpuzagrpck6vt78undp2flx9as3lww6uvs4lq,BNP,65847351963721.0,2000000.0,2679776278.0,1
285,37,pool1eu4s4jmjam94dgzm56mejgk5k3l7m7unk95296c7t73xqgp6kfr,BNP,65845866667827.0,2000000.0,2853342950.0,1
285,38,pool102vsulhfx8ua2j9fwl2u7gv57fhhutc3tp6juzaefgrn7ae35wm,BNP,65844169341403.0,2000000.0,3021665594.0,1
285,39,pool1vwfg3d0yhun8anncaxjfg8whjn6sa328shuyc6rmf2cgvyjrs7w,BNP,65843830693234.0,2000000.0,2760616156.0,1
285,40,pool1c50yum9j2pj66p6qyjwxd6h6z8scvysxq2hlrnw22vgs5rq2547,BNP,65843333405716.0,2000000.0,2896870810.0,1
285,41,pool1ydf0337sh8ct7ke59sf46ke9eygyj80wc9zqhkwjw7v6vmlxp59,BNP,65841662930858.0,2000000.0,2415482785.0,1
285,42,pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,65826435521198.0,361000000000.0,364039879254.0,2
285,43,pool1pavpy40ahr5w3rfkw63uhm0r8c0jg4shrjlrjfnt8km8jewpjan,,65823627113109.0,2000000.0,3369667428.0,1
