pool_id,pool_ticker,epoch_stake_ada,declared_pledge_ada,active_pledge_ada,margin,declared_fixed_cost_ada,T_ada,R_ada,a0,opex_epoch_ada_Cstar,ada_usd,z0_k150_ada,f_ada_k150,Pi_ada_k150,coverage_ratio_k150,category_k150,viable_k150,z0_k500_ada,f_ada_k500,Pi_ada_k500,coverage_ratio_k500,category_k500,viable_k500
pool1rg4h4fc9j70w3jx86s3vc8vzd7hxwd4sz4j80d93hk7j7mm5dx2,,27.617078,100.0,100.0,0.15,345.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,,0.0,0.0,no_rewards,False,64070000.0,,0.0,0.0,no_rewards,False
pool1rj6apcqxcvavaxp22f75zs9upphena7ntsnut2efvq98g4404up,APP,20875612.568437,10000.0,10000.0,0.02,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,14885.585284719798,637.7400914638166,0.6310471669656956,losing,False,64070000.0,14886.073055825773,637.7500758687659,0.6310570465867849,losing,False
pool1rj8zkzk3dm0lmnjtafczqfp8sshmang8gg85eypjeh2e6cve0vl,STKD,12896350.618058,0.0,0.0,0.1,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,9195.755626532282,1225.5755626532282,1.212713450301545,edge,True,64070000.0,9195.755626532282,1225.5755626532282,1.212713450301545,edge,True
pool1rjv02n5qtyden5frvyy34udlz3nqtkyu742mghcsww8nk4qycsh,LEVI,200067.196625,75000.0,75000.0,0.02,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,142.66751345303408,142.66751345303408,0.1411702531919078,losing,False,64070000.0,142.6894898950499,142.6894898950499,0.1411919989966011,losing,False
pool1rkyc3ss904h066sffergss99r9p2kqa4k6ds0g4u5ud4x7yaajd,1PCT5,125653510.267549,50000.0,50000.0,0.01,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,89603.65189740635,1267.8010819020183,1.2544958231714123,edge,True,64070000.0,45695.87294727744,811.426242335008,0.8029105246493333,losing,False
pool1rlg6ytznuzx7dwhyypfuusx4crm7pdftx04h9zr82pdrv0tve0z,,1513169.765364,1.0,1.0,0.01,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,1078.9672067232366,347.3901555407668,0.3437443817944619,losing,False,64070000.0,1078.9672102598222,347.390155576135,0.3437443818294589,losing,False
pool1rlgwefp8a6vpvglxqvmlrnznyv9sv6rl9uytkz8djw7p24a0hnf,,59848.902612,1000.0,1000.0,0.004,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,42.67537843586546,42.67537843586546,0.04222751089605878,losing,False,64070000.0,42.67551598064446,42.67551598064446,0.04222764699733935,losing,False
pool1rmwclmeutcdd7f0sktcevwa6ewaphxezgeqk5hcfswvpkaq2hmg,,967485.110233,1000.0,1000.0,0.02,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,689.867187490268,347.35173663928134,0.3437063660898436,losing,False,64070000.0,689.869446409839,347.35178410581256,0.3437064130582253,losing,False
pool1rngj9v7vac3qgmgmrh2x5me6r5eemef8v44c3264594wg4ehrwq,,22621.863657,2000.0,2000.0,0.005,345.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,16.130583674522274,16.130583674522274,0.01596129718918246,losing,False,64070000.0,16.130680073853046,16.130680073853046,0.015961392576826102,losing,False
pool1rp8ekuv3027rw3ykufwn7z4vactnjzthvlezssfjk9gljcsafkf,,79001.017858,5000.0,5000.0,0.01,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,56.33212490191856,56.33212490191856,0.05574093318630622,losing,False,64070000.0,56.332989773268835,56.332989773268835,0.05574178898104562,losing,False
pool1rpcweq9gcqlr27s6wjm67djmm2f2l5a72zusp3f25344kaxuqcd,TORO,323503.357002,200000.0,200000.0,0.02,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,230.69919038719888,230.69919038719888,0.22827805945360008,losing,False,64070000.0,230.75753456233576,230.75753456233576,0.2283357913210519,losing,False
pool1rpjjz68kmmetyxztmrstrwgz8lxf6v0d7vqgw98r5x8rc50jrdf,DEW,1271739.953159,105000.0,105000.0,0.02,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,906.9382034153704,397.21130348686563,0.39304266911743824,losing,False,64070000.0,907.2251938945825,397.2402644905608,0.3930713261825639,losing,False
pool1rs8xygd8rdqjjr5ums0w9upw9uwrrkvuvyjvq8wvr3kekhjkpl3,,3154697.329618,1.0,1.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,2249.4600696547654,340.00060527520395,0.3364323830309364,losing,False,64070000.0,2249.460077027937,340.0006052752063,0.33643238303093875,losing,False
pool1rshru8pm6y0jy7jncmt6qzfs8u4f5qa5gvyh38kgec767t20z3d,FANCY,210800.464279,100000.0,100000.0,0.01618,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,150.32258790552743,150.32258790552743,0.14874498953170628,losing,False,64070000.0,150.34858420945517,150.34858420945517,0.14877071301085518,losing,False
pool1rsm2ara9zm9tq0gupcq4c7e3v7c8lwxlgjgh2zalgjf3669rlwq,,100.838685,100.0,100.0,0.01,345.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,0.07190312465185278,0.07190312465185278,7.114851914576136e-05,losing,False,64070000.0,0.07190312484791846,0.07190312484791846,7.114851933976938e-05,losing,False
pool1rvjj8cp3urh7de07pm0ceqha2x4lxws69lhd4429dm6djfjsy4l,DINO,1081093.651602,10000.0,10000.0,0.0,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,770.8856310862353,343.9856457435277,0.34037560148534973,losing,False,64070000.0,770.9106698658076,343.9858773495457,0.3403758306607199,losing,False
pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,DIGI,143644351.344562,215000.0,215000.0,0.025,340.0,32040000000.0,29700000.0,0.3,1010.6060606060606,0.11,213580000.0,102456.66436107752,3041.9388682826707,3.010014472363662,comfortable,True,64070000.0,45731.16897147796,1541.0200733463178,1.5248474488884103,edge,True
