pool_id,pool_ticker,declared_pledge_ada,active_pledge_ada,active_stake_ada,third_party_delegation_ada,third_party_delegation_vs_declared_ada
pool12ql6www8aa8usn98azlkz76d2htxtm9swalvyac27rlq6mdkxc7,IOGP,64000000.0,1.48148,1.48148,0.0,-63999998.51852
pool12qrgswlflndwp3met59zmuclqp4wryn4e9428gm7n8vwymnhvng,VALOR,10000.0,10404.05413,15586.226058,5182.171928,5586.226058
pool12qtv7kyrx8g0d5890alk6dkc6n6nyfx80synspvqafjrqd3ergz,ASAHI,40000.0,56266.914401,7432589.983611,7376323.069209999,7392589.983611
pool12r08n33avu33ncstukwxyr440mgaazmuclay38v0yt34xytu2dq,FALCO,42000.0,176436.507892,301142.139289,124705.63139700002,259142.139289
pool12rruj0mjqzaf8ryg7ny0x77y80lpdxd7zh4kgg5zyy0r2rzue0q,INFAR,2500.0,0.0,6058.690105,6058.690105,3558.6901049999997
pool12rs385dd534g8gtdtmnvlhq63whdvc6vnuzxa5cpx843zdy73qy,TERA2,300.0,800.261266,8659698.887615,8658898.626349,8659398.887615
pool12rt30v5khmh2y9nap3ffe6envd89lq9qf8f4usr0enwwzzwktsu,BRAZL,0.0,1.698713,559.966054,558.267341,559.966054
pool12rv575nj9cfvy0r4th7jtz5x3nt6waht0qe5fdr58ucx77tk7pu,4BIZ,5000.0,5647.630894,6160.723066,513.0921719999997,1160.7230659999996
pool12t3wyzzmg5ms5tzz7w6evedrf7mh07m875r6dfk8xpmgzjc3d9g,,100.0,0.0,347.887492,347.887492,247.887492
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,NORTH,10000.0,11005.441921,56274024.656517,56263019.214595996,56264024.656517
pool12te7g032e9dqjqe5xsr05mrk7xs9ve4w6t275cda7e9quafr3zq,,10000.0,0.0,134.520635,134.520635,-9865.479365
pool12tlu3dm864fzxgcjp9jrsykcmcvxskjtqwy07z982avqx3n9dp2,,18308.0,0.0,41.825743,41.825743,-18266.174257
pool12tvj2j05hh6gtsvw349vuesyn0zphh75u7vadh5rkjs566s2ty5,,4000.0,6.818951,1145.957833,1139.138882,-2854.042167
pool12u28yewx8ycf6dj77lzpj6vvhjwp6veh6kxpc63h8fqnqqtlwmu,NOOPS,60000.0,107359.077011,398101.799172,290742.722161,338101.799172
pool12udshcl3ycj4qpxes28n0ugsye23h89rj8z2a5ast4482m08xe7,QQQ,0.0,66390.035685,22941073.963435,22874683.927750003,22941073.963435
pool12v7aukl49ehf9ysagq960ek26jeywnq3yzv5hgl4ecvhvyax5p6,WIN,35000.0,0.0,0.0,0.0,-35000.0
pool12vs4c3cm0tr49c7alrevfs0xa5g3s4al4fn46h33e69uusat04v,BLOOM,1000000.0,1000001.0,34510916.686131,33510915.686131,33510916.686131
pool12vx0utf438rpxskmvwm870vpz6qnur39jzl7gs3hhhldqekzjea,FELIZ,1200.0,1497.611094,2039.980436,542.369342,839.980436
pool12welhs4qhsdskajhxxgf3c6afew73jys05jr2d4hu6asvv9expc,CYPH,50.0,700.79267,701.766282,0.9736120000000028,651.766282
pool12wpfng6cu7dz38yduaul3ngfm44xhv5xmech68m5fwe4wu77udd,APEX,50000.0,50901.773447,3090889.533082,3039987.759635,3040889.533082
pool12x6z2am9fxpw7s8wfjpsdd4jm2v5wdj62fshv00ztpxr6jy3ztp,MIAS,100.0,496.175032,593.799895,97.624863,493.799895
pool12xxugucen5pql0ay70uakgqjaxpwfj6c9py8euyu4q3p23s0fyg,BNP,2.0,29766.23906,59154.059521,29387.820461000003,59152.059521
pool12xyhj4ktuhy0gage20p3e6z6r3s0tun7lmsk89lxv4y5wh93t0g,,0.0,1.434673,568.163192,566.728519,568.163192
pool12yfqjghmn47qajajqduf2rd83qxtdhva8j0qdctmla4v5w3mhq4,,31544.0,0.0,2816.791026,2816.791026,-28727.208974
pool12yscr8j3zs34ewxrwlk0p2w5uvgcnrzywpp78ddjsj8kxd530f9,GERO,50000.0,122289.707901,1019436.482155,897146.7742539999,969436.482155
pool12z39rkzfylvn9wfe8j6x9ucq6g2l4mw4azj70y0gd8ejczznyj3,BRAVO,310000.0,403635.522568,52078500.731109,51674865.208541,51768500.731109
pool12zcqkql458zh0pxvpw9qad8mceccdatk2lm0cpxfql557lhve8y,,2.0,13.611314,923.691183,910.079869,921.691183
pool12zgtcv0cu5caet8y2tna9l0jhthr46zpwh49dh0g4ew05st2t2w,PAL,100.0,218.615274,218.615274,0.0,118.615274
