pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,fixed_cost_ada,margin,declared_pledge_met,f_ada_a0_0p3,pi_ada_a0_0p3,U_ada_a0_0p3,coverage_ratio_a0_0p3,category_a0_0p3,f_ada_a0_0p6,pi_ada_a0_0p6,U_ada_a0_0p6,coverage_ratio_a0_0p6,category_a0_0p6,delta_U_ada,delta_r
pool10pmpya78vv23pngluf7hwpg9lerepmqdmdu47huf5vsskt56wzq,,247.210196,200.0,247.210196,340.0,0.015,True,0.07342015292528443,0.07342015292528443,-741.0376909581859,9.906767261282755e-05,losing_lt_025,0.05965388306851315,0.05965388306851315,-741.0514572280426,8.049249589454547e-05,losing_lt_025,-0.01376626985677376,-1.857517671828209e-05
pool10pvwz69qz468m79ysw8qjcav5z830sv4zmeprru2n4anyuxwj9l,,124124.412269,0.0,0.0,345.0,0.06,True,36.864304673072404,36.864304673072404,-704.2468064380388,0.0497419403384785,losing_lt_025,29.95224754687133,29.95224754687133,-711.1588635642398,0.040415326525013784,losing_lt_025,-6.912057126201034,-0.009326613813464717
pool10pxym4rs92lj853juzku38z58d9n59ra55qd2mnm820ljx4c6h9,JVNP,139.818659,10.0,139.818659,340.0,0.05,True,0.04152541579307802,0.04152541579307802,-741.0695856953181,5.603129567281892e-05,losing_lt_025,0.03373940154407104,0.03373940154407104,-741.0773717095672,4.5525429369810996e-05,losing_lt_025,-0.007786014249063555,-1.0505866303007921e-05
pool10q2fhzwe4f5k2llny65z5z2fuhrpk3x56fdc0782djdq58p9uee,KURIS,2278562.468341,100.0,34747.281659,340.0,0.0,True,676.7214604781243,345.1348846434665,-395.9762264676447,0.46569924464635654,losing_025_050,549.8363993925085,343.1999317873916,-397.9111793237196,0.46308836373111306,losing_025_050,-1.9349528560748581,-0.002610880915243474
pool10q33p4hx4wqum6thmglw7z5l2vaay4w6m5cdq8fnurw7vjdppcf,SPKL,38230.184169,1000.0,8576.795501,340.0,0.01,True,11.354208588589094,11.354208588589094,-729.7569025225221,0.01532052133392831,losing_lt_025,9.225329242753462,9.225329242753462,-731.8857818683578,0.012447970492470936,losing_lt_025,-2.128879345835685,-0.002872550841457374
pool10qmnswfc22zm0fscg80gkwqz65ujwjkqmctv8g9l9l58wqtelgg,WAAUS,2697137.476281,30000.0,40865.975291,170.0,0.008,True,801.1277899846386,184.53512366792063,-556.5759874431906,0.24899791799269647,losing_lt_025,650.9910726038812,181.07741543694877,-560.0336956741625,0.24433234466754702,losing_lt_025,-3.457708230971889,-0.004665573325149441
pool10qrz84cvz95zg8saf43ruhs5ulczuuqm2d3jn6d8xkkkzgzfje7,,112074.806511,44325.545672,88771.874447,340.0,0.015,True,33.28908892058314,33.28908892058314,-707.8220221905281,0.04491781113721863,losing_lt_025,27.05019150342355,27.05019150342355,-714.0609196076877,0.036499508775234175,losing_lt_025,-6.238897417159592,-0.008418302361984452
pool10quq4wlghwrvmhdzc7geq22pyhzegccwj56ax2g8hx0cjfahufs,SPS2,24708911.64549,10000.0,26172.056006,340.0,0.05,True,7338.702095118964,696.977580140508,-44.13353097060315,0.940449508435468,losing_075_100,5962.926110651828,626.804400160034,-114.3067109510772,0.8457630586867024,losing_075_100,-70.17317998047406,-0.09468644974876561
pool10rdglgh4pzvkf936p2m669qzarr9dusrhmmz9nultm3uvq4eh5k,KILN0,74073232.951482,100.0,4679.600928,340.0,0.05,True,21999.3733253165,1424.2685874181861,683.157476307075,1.9218016921684669,edge,17874.497743482953,1217.7772474696385,476.6661363585273,1.6431776952363937,edge,-206.49133994854765,-0.2786239969320732
pool10retvgthe4vymhaq8vr2734zladmeeuwy07rq8r5f690ydmz3vc,MORAL,971.580862,59000.0,137.688251,340.0,0.0,False,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0,-741.1111111111112,0.0,pledge_not_met,0.0,0.0
