pool_id,pool_name.ticker,pool_name.name,sigma_ada,pledge_ada,sigma_over_T,pledge_over_T,R_ada,T_ada,z0_ada,k,f_a0_0.1,f_a0_0.3,f_a0_0.3_plus_1pct,f_a0_0.3_plus_10pct,f_a0_0.3_plus_25pct,f_a0_0.3_plus_50pct,f_a0_0.3_plus_75pct,f_a0_0.3_plus_100pct
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,EARN,Earn Stakepool,7104483.057688,106108.193574,0.000183275483,0.000002737290,14966501.840557,38763957566.434639,77527915.132869,500,2493.9665302838,2110.8491027684,2105.9976541467,2063.3194970991,1995.9138745137,1892.8684974578,1799.9587312599,1715.7592556430
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,CCIO,ChainCrucial.io,16350.180704,1022.172676,0.000000421788,0.000000026369,14966501.840557,38763957566.434639,77527915.132869,500,5.7388199908,4.8559366119,4.8447565845,4.7464059672,4.5910715983,4.3536064136,4.1394984602,3.9454631274
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,BREAD,Stake Pool Bread,215231.051864,619.058768,0.000005552350,0.000000015970,14966501.840557,38763957566.434639,77527915.132869,500,75.5448359972,63.9226553273,63.7754826634,62.4808058457,60.4360011263,57.3100352909,54.4915415049,51.9372815114
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,,,2854.261122,439.569766,0.000000073632,0.000000011340,14966501.840557,38763957566.434639,77527915.132869,500,1.0018285848,0.8477019235,0.8457502044,0.8285809467,0.8014639251,0.7600091679,0.7226319278,0.6887588039
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,,,127062.598890,5020.247250,0.000003277854,0.000000129508,14966501.840557,38763957566.434639,77527915.132869,500,44.5984683611,37.7376349823,37.6507556648,36.8864789617,35.6793849687,33.8340573703,32.1702374045,30.6624005605
pool10mf43thtl3keag50mrlvqa78xkwg7harmu4w5yzr3k7jvw0ap43,JORGE,JORGE,2927773.115288,209406.623655,0.000075528230,0.000005402096,14966501.840557,38763957566.434639,77527915.132869,500,1027.8888267421,870.1894861374,868.1925259532,850.6252822278,822.8796839560,780.4639992416,742.2203490893,707.5620411388
pool10n23qyec2zcetv0e3x7fdjydscsrlet5sph2hgtfc7x5ze56jqn,DOTAR,Dotare,901698.759103,56818.583109,0.000023261267,0.000001465758,14966501.840557,38763957566.434639,77527915.132869,500,316.5124706774,267.8550527235,267.2388996949,261.8186061352,253.2578273373,240.1706597497,228.3707545478,217.6770904585
pool10n5e9hupkx0fs39fmhzpusdhd25vh6twxyq2n5dncegpkumhuz5,,,0.000000,0.000000,0.000000000000,0.000000000000,14966501.840557,38763957566.434639,77527915.132869,500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
pool10nug2zc80t6tz64awqr0362kfsh6yvje6xz2a6appzhzwe25nc5,,,0.000000,0.000000,0.000000000000,0.000000000000,14966501.840557,38763957566.434639,77527915.132869,500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
pool10nwac5phcc4vkjvux5mw6gvdzlxurkd944e5yx9yyfa8sqs35t7,,,36120.987876,2.000000,0.000000931819,0.000000000052,14966501.840557,38763957566.434639,77527915.132869,500,12.6782446859,10.7277455588,10.7030462222,10.4857663438,10.1425958207,9.6179788141,9.1449634803,8.7162933340
