pool_id,pool_name.name,pool_name.ticker,pool_name.description,active_stake,live_stake,pledged,live_pledge,blocks.epoch,delegators,epochs.0.no,epochs.0.data.epoch_stake,epochs.0.data.delegators,epochs.0.data.block.minted,epochs.0.data.reward.member_lovelace,epochs.0.data.reward.leader_lovelace,pool_update.active.margin,pool_update.active.fixed_cost,pool_update.active.pledge,saturation,f_reward_ada_a0_0.3,f_reward_ada_a0_0.303,f_reward_ada_a0_0.33
pool15wppycnx4mgq5nmwg4eyzj4pg5wazhyml48wsy0jskunsqq69gh,INDIA Stake Pool,INDIA,Serving the Glorious Republic of India on the Blockchain,557450004590,,1942053988,,1,2,644,557450004590,2,1,116801434,177800816,0.02,175000000,150000000,,165.5609910339,165.1798192343,161.8266537794
pool15wwz2tj30xjerxstwjezhlp8nqqu8jyvxp0h6dj4kzdq6cgv3gv,Vetspool,VETS,Earn rewards by helping others! Support veterans and their families!,14309460627,,9940733,,0,20,644,14309460627,20,0,0,0,0,170000000,25000000000,,4.2498355230,4.2400507921,4.1539745874
pool15xdvllxmlzhz0ct3u35wv3gmzxym06zwg3l6ltuqmcsmv9jq527,,,,25825259,,25825259,,0,1,644,25825259,1,0,0,0,0.15,345000000,500000000,,0.0076699676,0.0076523084,0.0074969608
pool15xfeh7v3kr5j4unyeszxnfvy349d4h8s92h4xdwl2hct6n0wgah,,,,939083298,,939083298,,0,1,644,939083298,1,0,0,0,0.02,340000000,700000000,,0.2789028538,0.2782607137,0.2726118120
pool15xgej4c7ns20y5pt7dc5vq6yj87ss5sl2ffucmh5j766j90ppur,1 Percent Pool #5 (v3),1PCT5,The 1 Percent Pool is dedicated to run stake pools with only 1% fee - ALWAYS!,221571814939,,51333057213,,1,77,644,221571814939,77,1,0,294646225,0.01,340000000,50000000000,,65.8157280350,65.6642955628,64.3321452429
pool15xy7ljyr733vtpvh65mpaq0lt5u9jqsr6u8urmjq7rxh6ne904c,YUGEN,YGEN,"Yūgen stake pools is Cardano Staking Pool. Yūgen is a Japanese word which means - 'a profound, mysterious sense of the beauty of the universe that triggers a deep emotional response.'",0,,0,,0,0,644,0,0,0,0,0,0.01,340000000,10000000000,,0.0000000000,0.0000000000,0.0000000000
pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq,ONE SecureStaking.io,SECUR,We always have a 0% pool on offer. Check other SECUR pools if needed on our website or find us on Telegram. A team of cybersecurity specialists operate high security community pools in the cloud.,66283902619502,,155809787518,,56,2315,644,66283902619502,2315,56,15801493767,696967748,0.03,170000000,100000000000,,19697.8392006188,19652.6056833759,19254.6867722918
pool15z7890uxn6nwl2yufxgrdsvjrpd0kzngvudfm2z2yafsjgkfndg,Zohar Pool,ZOHAR,We are a family run stakepool committed to giving back 20% of our proceeds to bring the Light and Wisdom of the Zohar to the Cardano community. Stake a portion of your ADA with us to align your wealth with the universal force of good.,832494667,,7615098,,0,3,644,832494667,3,0,0,0,0.05,357000000,1000000,,0.2472465922,0.2466773369,0.2416696021
pool15z87p296y3m7eq8pwuu8qs6h2v4d2ctnx3yd2vqpl6txkkdvl5h,"MUEN-StakePool,",MUEN,"Operated by Muen-project.水中写真NFTを通して日本の海を伝える活動を行っています。海、山などのアウトドア活動、ゲストハウス運営アドバイザーも行っています,",9079313264193,,15431680136,,11,63,644,9079313264193,63,11,2837894521,402853574,0.02,340000000,10000000000,,2696.6695811194,2690.4624294446,2635.8581628314
pool15zn2lqq4849ujttuthaycpamnyr8ae9k2pn2fkrlfzzsx4ek0tc,ADA Labo,LABO,Cardano network consultant,1698361672789,,12373659823,,0,490,644,1698361672789,490,0,0,0,0,335000000,10000000000,,504.4285600936,503.2674135465,493.0528161023
pool15zrj43nldc357nas0g7glm09wqhtyexxs64skq52mtg6sdrsjzd,,,,60781695,,6738263,,0,2,644,60781695,2,0,0,0,0.05,340000000,1000000,,0.0180518476,0.0180102854,0.0176446631
pool15zrkyr0f80hxlt4scv72tej8l8zwrcphmrega9wutqchjekceal,Zetetic,ZETE,Zetetic is a trusted high-performance low-fees stake pool established at the launch of mainnet.,39660795374542,,14232906107,,44,4712,644,39660795374542,4712,44,12618035006,344540942,0,340000000,10000000000,,11779.6985074060,11752.5836467368,11514.0544213011
pool15zuu7g6030wsfafu6a80pf6z2w6ceu4aumu2d6neykgtcx650u2,,,,4048591,,4048591,,0,0,644,4048591,0,0,0,0,0.99,340000000,1000000,,0.0012024105,0.0011996421,0.0011752884
pool15zvek3jke3z2uml5xeztl6wt56zuye5ne9caadz8mjn9ykyuu8n,Senti Africa Pool,SENTI,Senti Africa Pool is your efficient and reliable staking partner from Kenya. Delegate to gain excellent returns for your stake.,25426738876,,107625746,,0,6,644,25426738876,6,0,0,0,0,340000000,100000000,,7.5516122925,7.5342256492,7.3812754792
pool1620fkxluaftsvz5lge29tjur3flwa8wydpzqy0zd4cllxx2w3ma,,,,18621214,,18621214,,0,1,644,18621214,1,0,0,0,0.01,340000000,0,,0.0055304037,0.0055176706,0.0054056577
pool162343gl83jtrskacz2cex7szf4yd5t77f5nd0e65fg78ztppuj9,,,,114463466015,,1052714629,,0,151,644,114463466015,151,0,0,0,0.25,340000000,0,,33.9951911068,33.9169226574,33.2283956963
pool162szyrlrwes7qwy0za4ekufgyljfz0lac9t8h8svzale67n8vl4,mery and mak!,MAKL,mery and mak,496719173,,496719173,,0,1,644,496719173,1,0,0,0,0.01,340000000,449450697,,0.1475230101,0.1471833562,0.1441954235
pool163aacna7n8tgphz40prapjgkrkpvsfttaqt56yeg2psd2umnxqu,,,,50425749,,50425749,,0,1,644,50425749,1,0,0,0,0.01,340000000,1000000,,0.0149761851,0.0149417043,0.0146383764
pool163q9zuwpt9wr8rruuhw2mz6w6em25mhtrv58f8nz9aywj7vzer7,Darth pool,DARTH,Staking pool for delegating your ADA with high returns,9486132,,9486132,,0,1,644,9486132,1,0,0,0,0.01,340000000,289000000,,0.0028173319,0.0028108453,0.0027537830
pool1646vlaras0deljthqtfl9dpdw2xsna799l0kayyu9v44cql4ky0,Input Output Global (IOHK) - Private,IOGP,Our mission is to provide economic identity to the billions of people who lack it. IOHK will not use the IOHK ticker.,2925923,,2925923,,0,0,644,2925923,0,0,0,0,1,500000000,64000000000000,,0.0008689839,0.0008669832,0.0008493828
pool164nml0s3vt20jd8uf0lwf5hjnt4vcan9sjmxr8huq7k2qswd8jq,,,,0,,0,,0,0,644,0,0,0,0,0,0.03,340000000,500000000,,0.0000000000,0.0000000000,0.0000000000
pool164xvrnwxg0xwhkcm0fsnlzmtj3ptp5s7hne32k4dyv60x4utfje,,,,23705409510386,,1317786751,,5,11,644,23705409510386,11,5,1098776170,374235361,0.03,340000000,200000000,,7040.4191940537,7024.2098380374,6881.6162550366
pool1659knc82juzdqycvvwz0uzjsj5scxwewguhuzae93ed36xanxmz,Cash and Kindness,CASH,"Creator has substantial personal pledge and commitment to Cardano. ADA should make crypto transactions affordable and accessible to people all over the world. If you value kindness, dogs, or Ukraine, you belong in this pool. Welcome!",1448262840343,,695468255894,,0,5,644,1448262840343,5,0,0,0,0,170000000,610071179076,,430.7385929218,429.7529759260,421.0825106237
pool165cyssah9wcnkuqq339c9fam5wga3x7zl6kw4ktltq5x68tlu4w,,,,1075435349,,1000000000,,0,2,644,1075435349,2,0,0,0,0,340000000,1000000000,,0.3193987903,0.3186634141,0.3121943148
pool165ljt7xrrpceutz5ppe96suuw0jcnrvhg0f5vu60df0r5mt0x0c,99% CSWAP DEX ISPO Pool [CSWP1],CSWP1,All 99% margin fee rewards will be used to develop the CSWAP ecosystem as its own community takes the helm in moving it forward progressively. Visit our page for the roadmap and estimating your cswap rewards.,3492506323562,,106184424552,,1,400,644,3492506323562,400,1,0,294603220,0.99,340000000,1000000000,,1037.6700304416,1035.2850493219,1014.3043883441
pool165zu45p489lpuypt4fsuc5g8l9g9ha4dddlls84jlsp3k4vsw9p,Berry,SWEET,Hello. This is the SOUR pool operated by Berry. We promise safe and secure operation! Thank you!,4245248173597,,15746660070,,1,10,644,4245248173597,10,1,0,294604359,0.05,340000000,2000000000,,1260.8931770009,1257.9908866667,1232.4594604184
