pool_id,ticker,sigma_ada,declared_pledge_ada,declared_pledge_bin,active_pledge_ada,declared_pledge_met,margin,fixed_cost_ada,f_ada_a0_0p3,member_apr_a0_0p3,f_gt_c_a0_0p3,f_ada_a0_0p6,member_apr_a0_0p6,f_gt_c_a0_0p6,delta_member_apr
pool1jyn6ynmz6qcpr48et0rkdk9j4vuyn6d0qdlsahc0jls8jrs708g,,11536.676262,1000.0,low_lt_100k,1377.437325,True,0.01,345.0,3.4263449383707956,0.0,False,2.783915101294199,0.0,False,0.0
pool1jyutduy73e5u9877uns3k9rm0tf4r24j8lrn4xtkjpl3q5sn5mw,KOALA,1501809.247922,500.0,low_lt_100k,699.789655,True,0.03,170.0,446.0303959964704,0.01301477692160624,True,362.4003976830692,0.009071639543296857,True,-0.003943137378309383
pool1jz4vmzq5zkedem6wep8c99fxatxgvymlvdzs9qxxn7xsuv4m8um,,6.001245,100.0,low_lt_100k,6.001245,False,0.01,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1jz5ljsnj4fzmk84j0wcw9ldy866dn07nzqg2ktyuyjvfvr3jgtq,DIGI4,30973280.350189,215000.0,mid_100k_to_1M,215031.763262,True,0.04,340.0,9206.524326602232,0.020061356684956125,True,7486.49324399801,0.01616962236085286,True,-0.003891734324103266
pool1jzk8rwf2fs5l02dmm6pm5tnw9stmd8jpmvsy54085vu2u2656re,ETO11,50000242.227199,0.0,low_lt_100k,0.0,True,1.0,340.0,14849.811809753308,0.0,True,12065.472095424564,0.0,True,0.0
pool1k0d5szkmzsw6035ytsm8dv75d4ewu5gkm7c7dhsjug9uvkaunz3,,96.634341,100.0,low_lt_100k,96.634341,False,0.15,345.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1k0h45kcsfynjfyplgn6qpaw40n3cvlcrdryez04x40ayq6w9dgh,,7.054091,100.0,low_lt_100k,7.054091,False,0.2,345.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1k0ucs0fau2vhr3p7qh7mnpfgrllwwda7petxjz2gzzaxkyp8f88,POLY,69110361.740577,1000000.0,high_ge_1M,1005749.878996,True,0.009,170.0,20604.7177263809,0.021390551970032725,True,16805.764275641715,0.01741390241177315,True,-0.003976649558259576
pool1k0uv5fhsr74we0w7gfkv6m7r9rfpvgz2u7v66ppe0vxsvj0pzvt,,1367.097607,100.0,low_lt_100k,107.621522,True,0.9,340.0,0.40602102242483695,0.0,False,0.3298921990368767,0.0,False,0.0
pool1k0xa8wlsntmjhtw2shj3tspqd4kjyquw9tuyx5s7zz5jsyw4y2p,WMOPS,6181736.513282,150000.0,mid_100k_to_1M,3070292.909736,True,0.0,170.0,1836.9854350284552,0.01968539689383651,True,1493.3971705022332,0.015627970108252322,True,-0.004057426785584187
pool1k0xrqp03mn9u3q3sadndd6vu9udl5v38xpzyw0shm8sskuxw2av,JP2,36222079.108682,50000.0,low_lt_100k,58675.843019,True,0.05,340.0,10759.848914337037,0.019949614709887563,True,8744.067135960695,0.016090243029124707,True,-0.003859371680762856
pool1k2224hj6uhdgkflj6ncqvmfhqvhlhj0t8crhqux5mphwwumupec,UPBIT,35864351.698487,200000.0,mid_100k_to_1M,35842795.348724,True,1.0,340.0,10659.74453545208,0.0,True,8667.720103788613,0.0,True,0.0
pool1k26f25u5uqvhxuj20x3p72kx5gx4lc658f55kr328y5xzh0x4et,BICKS,25378.110549,100.0,low_lt_100k,503.901303,True,0.15,345.0,7.537169705733004,0.0,False,6.123952746280491,0.0,False,0.0
pool1k2cj852umvq5f527x9u7p58mnletdzx29gr4e4npv4nc6m3hch9,,921332.464717,125000.0,mid_100k_to_1M,165188.138654,True,0.0,340.0,273.7455595575938,0.0,False,222.51138847200272,0.0,False,0.0
pool1k2qhlrrweu8fecd4hx4hn22lv00nrd3rjdxj6durax7m78q7ynu,,14692412.478449,0.0,low_lt_100k,485.265834,True,0.99,340.0,4363.570067217675,0.00019991312886003123,True,3545.4006796143617,0.00015926196596717802,True,-4.0651162892853205e-05
pool1k2rhjxppp87k488zfeu9t24hl4jgjrjcqxwfg4q7jcu6wvkfwpn,,1.289969,200000.0,mid_100k_to_1M,1.289969,False,0.01,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1k2yfr7tapqzfgdn7vq2u44225rtqxctelr6dp0xjqggrwnx9hnw,BPP,85424.34872,27000.0,low_lt_100k,27027.002115,True,0.0,340.0,25.37240094587034,0.0,False,20.61654948552149,0.0,False,0.0
pool1k3mtxd2duy4848gx8knvlsas7w77f3k2cplwk6hjul72646fjte,QUACK,14420.188426,1000.0,low_lt_100k,1002.437424,True,0.01,345.0,4.2827363631914785,0.0,False,3.479735826504641,0.0,False,0.0
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,KILN9,40549675.566282,100.0,low_lt_100k,2665.358294,True,0.05,340.0,12043.047339205807,0.020015112861933533,True,9784.979749467599,0.01615325736835817,True,-0.003861855493575362
pool1k3wpsc8q8za2qeptx5kv73r76hs5gvp59gga6ad6u5hnj3scy3q,CPU,30645.771776,4000.0,low_lt_100k,4204.171603,True,0.0,170.0,9.101757276665257,0.0,False,7.3952773162413505,0.0,False,0.0
pool1k5a5e3ylva34qpmwdywv7fn75wt3gzv423e9uw2vmw5rqjc2q7t,MAXC,70154.585652,500.0,low_lt_100k,503.373352,True,0.0,170.0,20.835586977038737,0.0,False,16.928946939395274,0.0,False,0.0
pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,NORTH,76296499.045325,10000.0,low_lt_100k,11008.965045,True,0.0,340.0,22660.540106186207,0.02135614934026823,True,18412.401261138424,0.01729155739215983,True,-0.0040645919481084
pool1k65vmd0uyy0k5eylunwakd99m9j0n2hfynkxzd9472276m32p50,FM2,244.251759,100.0,low_lt_100k,147.225972,True,0.03,345.0,0.07254151825460249,0.0,False,0.05893999705154914,0.0,False,0.0
pool1k6altfangsst2mmxg8a9wvg3dppyszu8ckfzd3uv6azgw3z2txy,ELITE,1370499.612187,300000.0,mid_100k_to_1M,312979.951088,True,0.0,340.0,407.40216242393325,0.0035901928123097935,True,331.31561953940457,0.0,False,-0.0035901928123097935
pool1k6knum588fm9fe5tmljeytyx65rv6h5jn8au824t86zt62nyd9e,ZONE,380134.821383,0.0,low_lt_100k,0.0,True,0.01,170.0,112.89806425779719,0.0,False,91.72967720946022,0.0,False,0.0
pool1k6u3rdl30ruf85q3jpzcfyq4ta0umrxdlt30rcpxqqasumcnkgu,,1008.611006,1000.0,low_lt_100k,1008.611006,True,0.005,345.0,0.29955223128410097,0.0,False,0.24338619597109468,0.0,False,0.0
pool1k7asvr2vd28jxw25fsh9pxckt5ykadhn8ua4x88vu39dzquvqvh,PRIZE,499.489389,300000.0,mid_100k_to_1M,28915.983067,False,0.018,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1k7ku4sqvepztwqfvqj7wjadcsw96mancwyf8spty9tm0jfnwls9,,240.722383,20000.0,low_lt_100k,0.0,False,0.01,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1k7zrx5rw6cvef9m5qtp9sy4e53u93kwqx73ykz7md9gmwgf56yk,TREFI,10662851.655882,10.0,low_lt_100k,748.055989,True,0.01,340.0,3166.8115896878658,0.01915938439170225,True,2573.0345161867763,0.01513491978440821,True,-0.004024464607294038
pool1k8dm3fwajc6c8s32accfwqw8dqawl6k243z43cf74uxu7457z6l,,39364368.335038,0.0,low_lt_100k,39387105.381895,True,1.0,340.0,11691.012598077825,0.0,True,9498.947735938234,0.0,True,0.0
pool1k8l84smxjczp2mpqmn7qsd23j7h4vd7rwagdscsrjecvgplkmw8,,1.0,600000.0,mid_100k_to_1M,1.0,False,0.02,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1k8mxlherc4vmfk9pmxs0rk27qmu3sqy0gsdck4gwduz57xsepak,LOFI,2239.710944,100.0,low_lt_100k,1142.46907,True,0.01,340.0,0.6651827439322168,0.0,False,0.5404611792428887,0.0,False,0.0
pool1k8s63hvxl5un403f0lwqm87f7svwn2j7vpeflgupvkhqkjpknut,,2141646.986382,100.0,low_lt_100k,557.104176,True,0.06,170.0,636.0582589191193,0.014932861452137385,True,516.7975353411775,0.011111657068802724,True,-0.003821204383334661
pool1k8w7ylxa542hwymnwmuumpnudz7j9ae582wqecxv9n24zu8fptq,DAO,14834.495919,25000.0,low_lt_100k,1428.907188,False,0.02,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1k93a7tazk6uhy0pe26pau9hthyn9kmtdcdl9er5kw9w82fl5j2w,LIFE,306.685167,450000.0,mid_100k_to_1M,200.28513,False,0.01,345.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1k99yncea8tq9pfeks3yymyj6fwjf4apx0s490j09m4y66vtyufr,PUMP,1809472.213659,6942.0,low_lt_100k,76607.815693,True,0.0,340.0,537.4182154434995,0.00796449352390628,True,436.6639853933728,0.003899739869145084,True,-0.004064753654761197
pool1k9xjmvud972vng83669mkveaedteaprnfflqv047y66ugtqjyyq,,1167.085052,100.0,low_lt_100k,498.625042,True,0.15,345.0,0.34661831119067493,0.0,False,0.2816274774827196,0.0,False,0.0
pool1ka8q6my2a5fennpr2nmrj5yzma27d2fkev8lmpfq90kxzjszwgm,,366.625702,100.0,low_lt_100k,365.625702,True,0.02,345.0,0.10888595672555149,0.0,False,0.08846986473600173,0.0,False,0.0
pool1kccqxg032r6dcqqpvmv87azttcug5ug6cur9pa7qkuwc5ze4pxa,HUDO,29017.70999,0.0,low_lt_100k,872.818026,True,0.01,170.0,8.618108899222383,0.0,False,7.002213480618186,0.0,False,0.0
pool1kcrpxr6rqyqu0zlpdflma4565qrxtz4u4whcqhsan6335g5uext,GLOBA,32.479113,1.0,low_lt_100k,1.899062,True,0.06,170.0,0.009646127621042081,0.0,False,0.007837478721490635,0.0,False,0.0
pool1kcrr7re05pwesye0zh00a4xxnsrw5c29rd82fn4qecdcqu5rue3,4WARD,439538.566146,200000.0,mid_100k_to_1M,207153.177644,True,0.0,170.0,130.59598563960736,0.0,False,106.15418440354082,0.0,False,0.0
pool1kcvaxe4q4npwt28qlr3h84htjf4qrqglqk3cr2484ptycr0ldut,RRC,55591953.86676,0.0,low_lt_100k,0.0,True,0.05,340.0,16510.521075211993,0.02017244508537563,True,13414.798373609745,0.016310584610554575,True,-0.0038618604748210557
pool1kcwfpv65agclgu9p6eetn6x4q0zexzgr5v2cl9255qlwjjqr56v,,1.77386,10000.0,low_lt_100k,1.77386,False,0.01,340.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1kdfznpenxa9wwcz8tweump45k5h78h8hl4slv78fdypsug9ypc6,DOW,357360.789813,10000.0,low_lt_100k,11351.723494,True,0.015,340.0,106.1382879163348,0.0,False,86.24060287925401,0.0,False,0.0
pool1kdhhrsl8av6gzr7vrf5q06pwlrsr8646wkjkg0h550tw6vxf8mv,VIVA,32094.476337,500.0,low_lt_100k,846.849674,True,0.029,340.0,9.531910652057707,0.0,False,7.744692155725863,0.0,False,0.0
pool1kdr3lv2e7h5tx3gp3fwrpxhaj8cxh7v422uwj84enqxf6j5flj7,REYTS,400.299099,100.0,low_lt_100k,107.249204,True,0.0,340.0,0.11888678431492104,0.0,False,0.09659554029665636,0.0,False,0.0
pool1keasvddt9vndl8jyhg204s6kqusv5zgzg3kk3l3g949ew402ahe,UPSTR,261145.155441,15000.0,low_lt_100k,15719.993535,True,0.01,170.0,77.56299661093024,0.0,False,63.023383062327724,0.0,False,0.0
pool1kez2gdqpwq2d3xd5k5q4enea59sp8tmgqsyt0rtmgxvuyykz8qg,CSPS1,561.645229,35130.209624,low_lt_100k,10.176589,False,0.04,345.0,0.0,0.0,False,0.0,0.0,False,0.0
pool1kf0c6a38vy9t7muc2jpfefdc0y6ey8386ujtn6rtly25y5yxwqf,FGMTC,1026353.314341,2e-06,low_lt_100k,9.820727,True,0.1,170.0,304.82159464398967,0.008630340687112718,True,247.6675456482435,0.004971736026756022,True,-0.0036586046603566957
