pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,f_base_k500_c_declared,D_base_k500_c_declared,f_A_k1000_c_declared,D_A_k1000_c_declared,f_B_k1000_c170,D_B_k1000_c170,f_C_k500_c75,D_C_k500_c75,f_D_k1000_c75,D_D_k1000_c75
pool14mhf0xtx45a8979mcnad8upas8apwal4nfqd95arv4wlsuk6m9q,GMO2,60103835.657889,20000000.0,28984150.653619,0.04,340.0,True,False,19128.69005518396,0.0003000996900704309,13294.66250784952,0.0002069165115904408,13294.66250784952,0.00020963181250615827,19128.69005518396,0.00030433236502728464,13294.66250784952,0.00021114918654729456
pool14mm59ntjqzphjr6chrww639cdr3yjce4qcwzc5jkk38y22u7uc6,ZZZ2,33328546.501727,50000.0,58321.052516,0.05,340.0,True,True,9900.31840810738,0.0002725082081581742,9902.234370853885,0.0002725628209391152,9902.234370853885,0.00027740851680501896,9900.31840810738,0.00028006179289031836,9902.234370853885,0.0002801164056712593
pool14mumny7t9l4ydjkqkllylxzzvwf0s5te9vujqet82eszj3d6ccm,,1.0001,25000.0,1.0001,0.0275,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14n6nrj7rdrcxhwlzx5kytt60pqwnzjm97nuczrpa0ucwzyx2ule,MAKE,136365.182763,777.0,2864.128952,0.0,170.0,True,True,40.49987090216829,0.0,40.49999198093328,0.0,40.49999198093328,0.0,40.49987090216829,0.0,40.49999198093328,0.0
pool14n77mmxh6a2d9k05jamzdwsws2ayvkyje8uc7led958p63at3aj,SECUR,9379905.555624,200000.0,208392.402112,0.0,170.0,True,True,2787.8987008404897,0.00027909648826590275,2790.0253751669748,0.00027932321489058715,2790.0253751669748,0.00027932321489058715,2787.8987008404897,0.0002892245220117265,2790.0253751669748,0.0002894512486364109
pool14nxj3szga2tgllwenjgajfl3y4t570yghhyk36d2heuqvy63wl3,,14570508.614492,0.0,0.0,0.05,340.0,True,True,4327.365253840621,0.0002599769912891719,4327.365253840621,0.0002599769912891719,4327.365253840621,0.0002710610244051724,4327.365253840621,0.0002772550429111727,4327.365253840621,0.0002772550429111727
pool14nzt6708j4jgu5f5ajxgp0pdfp42jqraum585dy2r7vt5zulyd8,BN1AU,16221.979478,4500.0,3986.978827,0.0,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14p4ksk3ddqtax905sys7ujakpxwvfsntjnvlu8p9d3wxycy7pv3,KIRIN,5122.521586,25.0,3316.189393,0.01,340.0,True,True,1.5213624070209641,0.0,1.5213625534784234,0.0,1.5213625534784234,0.0,1.5213624070209641,0.0,1.5213625534784234,0.0
pool14p6lu0454w4wq6gsxxftqdz43x3tuv3teunp8kgu08tacgf43gd,,594.564135,100.0,497.625174,0.15,345.0,True,True,0.17658251164764813,0.0,0.1765825684853658,0.0,0.1765825684853658,0.0,0.17658251164764813,0.0,0.1765825684853658,0.0
pool14pm8aq4eu6ms4r5egy6j4g0ny76cpqgy40qgyxa8c4f02kj98wg,,75059.279918,70000.0,16.84348,0.03,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14prutdqlndelj94pdz6h03yjh8c2qrmvgzrh4f46nryn2024u90,ADAMP,10252.711035,1000.0,1019.823411,0.2,345.0,True,True,3.045012470313712,0.0,3.0450231043860834,0.0,3.0450231043860834,0.0,3.045012470313712,0.0,3.0450231043860834,0.0
pool14pwff25hl70dusazjckjqvzft35ew67t33x49hwjm5j7y675ere,,117.618178,100.0,117.618178,0.0,345.0,True,True,0.034931988969349057,0.0,0.03493199099415872,0.0,0.03493199099415872,0.0,0.034931988969349057,0.0,0.03493199099415872,0.0
pool14pxhk34wlpu2azrnwy9ah8hrzxgffhqthcxcp620209eupfjfcn,1337,4365.205438,100.0,100.0,0.0,170.0,True,True,1.2964437948041645,0.0,1.2964442849819953,0.0,1.2964442849819953,0.0,1.2964437948041645,0.0,1.2964442849819953,0.0
pool14qpadfdjzw6jkwxy67uhey6tjpyppsmwgz5awfsxwrtpsecslpc,BEADA,1221666.080784,90000.0,118495.767292,0.02,170.0,True,True,362.9456672008555,0.00015477777179136594,363.0631576340273,0.00015487202064243862,363.0631576340273,0.00015487202064243862,362.9456672008555,0.00023098517532364163,363.0631576340273,0.0002310794241747143
pool14rf039l9kskejp4g7synrefujghemdwkenx544gywgp9cttert6,,195.445945,100.0,97.620202,1.0,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14rs7ky0p867k0fe9mk3uug9c6w0mwlz3sllh7rpwxcqacr70s8t,KIKO,110503.354467,110000.0,110497.619322,0.029,340.0,True,True,32.81900482386933,0.0,32.8191279178286,0.0,32.8191279178286,0.0,32.81900482386933,0.0,32.8191279178286,0.0
pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu,EVRST,51288965.743725,1000.0,1497.670787,0.04,400.0,True,False,15232.614932549322,0.00027762911824731954,11512.782821944487,0.00020800324893219217,11512.782821944487,0.00021230826847778541,15232.614932549322,0.0002837122980400057,11512.782821944487,0.00021408642872487832
pool14sy0qjv6fl5jcv0gfn6zl8w9tqnm67drxum6tdmazcjvypy848w,AIRE,5025.750076,5000.0,5016.208988,0.0,340.0,True,True,1.4926217753859659,0.0,1.492621928938962,0.0,1.492621928938962,0.0,1.4926217753859659,0.0,1.492621928938962,0.0
pool14t5mu3sc07e92k6etpq2xftwjy2z3y8gxq0wny2crdckq2rpt0r,,2602.446738,500.0,1.523234,0.001,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14tdqa54j9kwhxpx3q55zrgt2gc8lqk9trkhfe7m36fhp7jjzf6w,,0.0,0.0,0.0,1.0,369.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14tj8njl3ggzj4dzcsrm5yjekrahytp4zkh3s78gsxz4c55jfuzv,,760.828483,100.0,107.62403,0.01,340.0,True,True,0.2259621771030503,0.0,0.22596225304866116,0.0,0.22596225304866116,0.0,0.2259621771030503,0.0,0.22596225304866116,0.0
pool14ts4y6fpvxnc3e2aqwxqh5xskjyzlpzk6rexgyt3syh2vdgrv7a,,500.0,500.0,500.0,0.01,340.0,True,True,0.14849739869720713,0.0,0.148497398702766,0.0,0.148497398702766,0.0,0.14849739869720713,0.0,0.148497398702766,0.0
pool14ujg8l2x6fm5jm07jd6jftktt35dzsnefl2jmx9d8vr4cxxkt5d,,65838.642173,7.0,10.591566,0.02,340.0,True,True,19.553734722245554,0.0,19.55373525184173,0.0,19.55373525184173,0.0,19.553734722245554,0.0,19.55373525184173,0.0
pool14w9tn4w30dwd2lfv4cwjg2a2e3ukfd0nqrydx37fjzf7z5f5jnk,KOBE,85729.413024,500.0,549.40155,0.025,340.0,True,True,25.46123862647208,0.0,25.461287602092334,0.0,25.461287602092334,0.0,25.46123862647208,0.0,25.461287602092334,0.0
pool14wfydr6sewgx0qw39ccv53dysgg9m4u2763ngcyuyuxrxdfhq3e,,2894.300716,183.0,185.425793,0.01,340.0,True,True,0.8595928249554383,0.0,0.8595933951775481,0.0,0.8595933951775481,0.0,0.8595928249554383,0.0,0.8595933951775481,0.0
pool14wk2m2af7y4gk5uzlsmsunn7d9ppldvcxxa5an9r5ywek8330fg,SMAUG,31376254.919132,1000000.0,1063123.345248,0.0299,170.0,True,True,9353.959290154005,0.00028395227315500374,9390.26432625134,0.0002850747626174586,9390.26432625134,0.0002850747626174586,9353.959290154005,0.0002868895102547637,9390.26432625134,0.0002880119997172186
pool14wn0gvhwme9lxx9l7j85k0dr2twyrgf9j0k3gx0f5d5ckzeln2l,SIRET,896.394957,0.0,455.198513,0.0,340.0,True,True,0.2662246386362677,0.0,0.2662246386362677,0.0,0.2662246386362677,0.0,0.2662246386362677,0.0,0.2662246386362677,0.0
pool14xq8v9s80ut6vmwp93tzhlydhsdqhxk3e9jerl2kl7hm2dq6pru,ARH,70193192.449983,0.0,0.0,0.05,340.0,True,False,20847.0129698897,0.0002775434716874732,11512.69372350527,0.0001512120857716107,11512.69372350527,0.00015351287868846055,20847.0129698897,0.0002811300018225627,11512.69372350527,0.00015479861590670017
pool14y3wr9lkqyeg8z8pwuprmjwahr0ydu0pjs8usy2g93mugtpx622,GAR,190.785069,100.0,162.110596,0.05,345.0,True,True,0.056662183346269074,0.0,0.056662193779767396,0.0,0.056662193779767396,0.0,0.056662183346269074,0.0,0.056662193779767396,0.0
pool14yezww4csqq4ny9xwl45e3vckvrd7rkw2j4f350wl2mqqw6shcf,MnM,2659.962122,500.0,503.421919,0.0,340.0,True,True,0.7899961526612351,0.0,0.7899973938518368,0.0,0.7899973938518368,0.0,0.7899961526612351,0.0,0.7899973938518368,0.0
pool14ym9xrwe8vjl8xfm7xjx3eeg7fdqekkrejhuug732myd66y6qdy,,0.0,10000.0,0.0,0.05,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14z3hap9tf6gt4gk8u84kcwm3s0etcgha26sn8t8wmvcruk0kvgj,JACKS,736295.228921,10000.0,15765.869207,0.0,170.0,True,True,218.68420032405427,6.612048864610773e-05,218.6925504978811,6.613182944189022e-05,218.6925504978811,6.613182944189022e-05,218.68420032405427,0.00019514482055603638,218.6925504978811,0.00019515616135181885
pool14z5zuqy98d956cktyjuztaj7u4a4wje88c8ewznqdh6uxwlpnj4,LINUX,107.145887,200000.0,304.696717,0.03,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool14zdcvdec8qmqzsat5wg3a2h9f0u5yzrgjew534z8u3gs5durnjz,PAUL,33030614.608485,100000.0,100249.532747,0.03,340.0,True,True,9813.710118579294,0.0002782115599102807,9817.50933647787,0.00027832313038528696,9817.50933647787,0.0002833154686131575,9813.710118579294,0.00028599373420666715,9817.50933647787,0.00028610530468167343
pool14zkvjsd7ny9dgc2d5faqwttzh2me0tzuk9xmf8vydxxcvqaaaya,FORT,621.049241,10000.0,0.0,0.15,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool1509aw97y38yl6cpamvpzv58hh9c6lxrggxssya9twj9f6xxd394,HKB,2154.234843,10000.0,1796.769708,0.00111,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool150hft90uw7tzr9uvj7tqkjp4u98a9hl20llj3n9ew76kkfm768r,MONKY,1606607.518224,3333.0,11537.342275,0.00333,170.0,True,True,477.1602158535189,0.00019054894793044512,477.16635787484444,0.0001905527581755268,477.16635787484444,0.0001905527581755268,477.1602158535189,0.00024948284991085326,477.16635787484444,0.00024948666015593495
pool150n38x8gquu4yt5s0s6m3ajjqe89y68x96dh32tq8a4es2l6dvp,ETO1,4007584.229626,0.0,0.0,1.0,340.0,True,True,1190.231666303972,0.0,1190.231666303972,0.0,1190.231666303972,0.0,1190.231666303972,0.0,1190.231666303972,0.0
pool1522rtve5zlgnlh3zm5a4mcy3u7gpndg3kkac3xyzxmp6x6weca3,1112,3499196.497981,80.0,27473.04736,0.25,340.0,True,True,1039.2434766553786,0.00014987229433789328,1039.2437983632776,0.00014987236329112998,1039.2437983632776,0.00018630929962024616,1039.2434766553786,0.0002066710480273979,1039.2437983632776,0.0002066711169806346
pool152zrg07tzs7vjcw7q64r85egv6efr59lsyn4v5yqqxy0vspj26f,PTON,0.0,50000.0,0.0,0.02,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool1533ly347ggl6je42ta7l7dv262hg07n8p4y8v32npgvajl6rxqz,MONTY,49315.192102,4000.0,8780.128804,0.0,340.0,True,True,14.646563811042574,0.0,14.64677215886073,0.0,14.64677215886073,0.0,14.646563811042574,0.0,14.64677215886073,0.0
pool153sc4fct34a680nyfj4084w8dpax6c0zt0js8zqvg3sj7wtk486,SASA2,22253959.434916,80.0,1029.454285,0.03,340.0,True,True,6609.312219525829,0.00027326520796109324,6609.314265541959,0.00027326529714233094,6609.314265541959,0.0002806752144868047,6609.312219525829,0.0002848159614686553,6609.314265541959,0.000284816050649893
pool154hq0j6u6ydz62mtlu7xaj78mhreyp0zsv2kq7f0qmne2fu4t7y,CTEC,13790648.152554,30000.0,31243.80487,0.01,340.0,True,True,4096.225367931192,0.0002696510760854406,4096.700349876923,0.00026968517398432627,4096.700349876923,0.00028188909639161584,4096.225367931192,0.00028867483748503905,4096.700349876923,0.0002887089353839247
pool154sjkrwdu80wp6mnjvkwk55aj53l4v37z4zwulfak74vcxg60x0,ANZ,237631.650099,64000.0,87239.128151,0.0,340.0,True,True,70.58814908415874,0.0,70.60096325034158,0.0,70.60096325034158,0.0,70.58814908415874,0.0,70.60096325034158,0.0
pool154xmvhp4jnz7phwcla09uvzqnn3ch54lh2yzrt2znxdgc4trp8x,LEAP,3958604.792304,100.0,613.959415,0.0,170.0,True,True,1175.6854831693224,0.00025405048898149545,1175.6859380996052,0.0002540506039033699,1175.6859380996052,0.0002540506039033699,1175.6854831693224,0.00027804884319576086,1175.6859380996052,0.0002780489581176353
