pool_id,ticker,sigma_ada,fixed_cost_ada,pledge_met,unsaturated_k500,D_base_a0_0p3_c_declared,D_A_a0_0p6_c_declared,D_B_a0_0p6_c170,D_C_a0_0p3_c75,D_D_a0_0p6_c75,f_base,f_A,f_B,f_C,f_D
pool1aq2kqdp9xf9w47vttvmqnahwd4scz2qyddsr9l4mfru4qddg3kr,NMKR,2648449.481691,340.0,True,True,1.6901043726407327e-06,1.1356931288395024e-06,1.7775781305177574e-06,2.6906898164333067e-06,2.1362785726320767e-06,787.6156049724037,640.7825878435008,640.7825878435008,787.6156049724037,640.7825878435008
pool1aq6sd3kr3cnjk995tfthhyf0suth3rm547kp6pv35z7wgqu6twn,BNP,11670.859974,345.0,True,True,0.0,0.0,0.0,0.0,0.0,3.466184720174178,2.816275106933354,2.816275106933354,3.466184720174178,2.816275106933354
pool1aqg6fvhcaulvss2ruvpx6ur9vj7pejvdcxv6xp0qlwuwx94evf0,SARGA,16066580.321068,340.0,True,True,0.0002703443225060412,0.0002157891045660258,0.0002261584548988741,0.0002865083097895988,0.0002319530918495834,4772.151808049002,3877.7479397157094,3877.7479397157094,4772.151808049002,3877.7479397157094
pool1aqg8vxzv75zhjzjjd9s20fu6r0xz70yl8lk3teacwy7qyc2p2j7,KILN7,65955029.462936,340.0,True,True,0.00028308468813297705,0.000229068829030403,0.0002315690174366968,0.0002869820406486704,0.00023296618154609628,19588.30819207892,15915.506564680905,15915.506564680905,19588.30819207892,15915.506564680905
pool1aqr4843pgkyaq6p2557vgnxsxwnj5s5em2xusf5k4ya4uzk3w5l,,831.024711,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool1aqslsnawz622pd8367tgsu2atfm3lgk9xcdw5rh3c6rgzca33yq,,20.0159,345.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool1ar6nsa2uzng70uf8fdrttu5jhgxzgu2f4za8h845zr435nfcruw,1STEP,4066303.931467,170.0,True,True,0.0002513881080415447,0.00019655446593038072,0.00019655446593038072,0.00027440040657532425,0.00021956676446416025,1207.7872609679027,981.4215203655874,981.4215203655874,1207.7872609679027,981.4215203655874
pool1arsqn9w87wpqlm0sre66gs79dcs0jmwulytgke3vut7u62lttu7,LATIN,2520227.202168,170.0,True,True,0.00022546417620844438,0.00017081459960147815,0.00017081459960147815,0.0002624806800854553,0.00020783110347848902,748.6364052901433,608.382485176253,608.382485176253,748.6364052901433,608.382485176253
pool1arx4x8ecnxu46xrpfj88hwm25j9gcy8080szvf62a0avke556v5,SPG01,131012.917179,340.0,True,True,0.0,0.0,0.0,0.0,0.0,38.91066771872594,31.615334273501162,31.615334273501162,38.91066771872594,31.615334273501162
pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk,MIN,35113937.580679,340.0,True,True,0.0,0.0,0.0,0.0,0.0,11073.43521952885,9521.048600126345,9521.048600126345,11073.43521952885,9521.048600126345
pool1asfgkqtmjuusclgx72xpzvpw336gkulchtstsx9lsj9uqzjckv0,BASHO,24288366.153241,340.0,True,True,0.000274506440628072,0.00022049051463955168,0.000227279773289541,0.00028508969675893774,0.00023107377077041742,7213.518496286108,5860.983868950491,5860.983868950491,7213.518496286108,5860.983868950491
pool1ast5kjj9zer9sp02f5w44nyqsc54589l2glyp5fhsg3awqs5axk,,67679.828832,340.0,True,True,0.0,0.0,0.0,0.0,0.0,20.101220033308156,16.33277994986516,16.33277994986516,20.101220033308156,16.33277994986516
pool1aum2mx8ds554pfm45el2wn3lr7lsnphlggxzhk3qlpl56qnffm2,AMM,1384.519322,340.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool1auwfzangu7s9uagapchhmac87jy3k87a3dxhp23vadtw5m5dswl,JPN24,3324.707793,340.0,True,True,0.0,0.0,0.0,0.0,0.0,0.9874212879632286,0.8022800975809045,0.8022800975809045,0.9874212879632286,0.8022800975809045
