pool_id,ticker,sigma_ada,pledge_met,unsaturated_k500,r_base,category_base,r_A,category_A,r_B,category_B,r_C,category_C,r_D,category_D
pool1h2vtxz36m93e2dw9mn4luh64372t794qsjcpgt3fqpnycc8qh3z,FRITZ,445263.263332,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1h3aejp7fln74mwaraqjn65ve3j5zwqr7wk0pasct87wpkv0aspm,BEAST,3706225.006981,True,True,0.7620930527607885,losing_075_100,0.6809277646649626,losing_050_075,0.5190449828798877,losing_050_075,0.5097463635075833,losing_050_075,0.42858107541175744,losing_025_050
pool1h40kkf28nr3amhs6nsmqn75aderg6cutmygr47czu2dw2dxzvgm,,729166.623097,True,True,0.2922406712690452,losing_025_050,0.2374719834432051,losing_lt_025,0.22987340386772945,losing_lt_025,0.11273029119832444,losing_lt_025,0.10942455647007193,losing_lt_025
pool1h40xjqda9wmw9cff5jss3ww9npujkhlvg6xjy9l5ujsu5rqlw28,CHG,310477.208274,True,True,0.124433318721254,losing_lt_025,0.10111171862298399,losing_lt_025,0.10111171862298399,losing_lt_025,0.10334092773108515,losing_lt_025,0.10111171862298399,losing_lt_025
pool1h4g295xugk46jdyxv4m55y9rp9kln0k5hy8fyk2kaef5u3gmt8y,,495.282744,True,True,0.00019848093952391435,losing_lt_025,0.00016126579780927782,losing_lt_025,0.00016126579780927782,losing_lt_025,0.00019848093952391435,losing_lt_025,0.00016126579780927782,losing_lt_025
pool1h4gwh638485yd0xcw0pkrm935nvm4aecqsxjx2yzzz0u6dfj73q,SEBA,1917057.392983,True,True,0.5361452783507764,losing_050_075,0.5001310792932818,losing_050_075,0.3280963042712128,losing_025_050,0.267973423169316,losing_025_050,0.2319592241118213,losing_lt_025
pool1h4n266z2xz0v754qf8uu09cda7q68gpymt5dlf4zxcvlg3hq3r7,,25.098487,True,True,1.0058033066327577e-05,losing_lt_025,8.172151866391157e-06,losing_lt_025,8.172151866391157e-06,losing_lt_025,1.0058033066327577e-05,losing_lt_025,8.172151866391157e-06,losing_lt_025
pool1h5368szqrqvfy7txc5r2lyay0xx4fvp2w38mswplqknax8l9wl2,OSADA,4845.998156,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1h59405hmvnxz2kyjpll3f65lnqhm7we3u96cws9vzzxzzws9gjc,LBA,6369323.408481,True,True,0.5695483467652815,losing_050_075,0.5442266494168367,losing_050_075,0.3269781344097902,losing_025_050,0.2308962498425325,losing_lt_025,0.20557455249408768,losing_lt_025
pool1h5a30zxga37fphw3tjkp8anu3xm69a28kytceppz2prysfzfcjv,FGMTP,48398274.503951,True,True,2.1459736363409174,comfortable,1.7823123461053603,edge,1.7823123461053603,edge,2.030606332028965,comfortable,1.666945041793408,edge
pool1h5jtxde8j86qrnqzj32ugn480u7gw5xw8wqy5d227rl3vfg58qz,PEACE,388304.761492,True,True,0.15563695796082888,losing_lt_025,0.12647671903713242,losing_lt_025,0.12647671903713242,losing_lt_025,0.12354203520331297,losing_lt_025,0.11157389041571333,losing_lt_025
pool1h5kewwuh5jh6cuq52nwu5w7g8488qsp8ja7ahs8p2ln8ygde8xf,,8247.425397,True,True,0.0033050978196035702,losing_lt_025,0.002685394480947738,losing_lt_025,0.002685394480947738,losing_lt_025,0.0033050978196035702,losing_lt_025,0.002685394480947738,losing_lt_025
pool1h5spwddnynn6dt2z3qz9tvkju7sn6s8ptqetyfpltsppwalukyg,CNUS,3056.710208,True,True,0.00122495549010903,losing_lt_025,0.0009952775366621142,losing_lt_025,0.0009952775366621142,losing_lt_025,0.00122495549010903,losing_lt_025,0.0009952775366621142,losing_lt_025
pool1h5tldkcwftpnnwj4ygtfd8ts6mxkcv0qyes9tum9hxx27zrjzpf,ZION,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1h5uycju7n5puxn2ckfkpza550rf6jk4twr6ef0hsmxft78ajt6q,IOGP,5466.199163,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1h5xdez7j0ncewgxs4m8fykjt9jzuy86t8e0m7m7m2l79w4jzzk2,GOOD,203.250629,True,True,8.145118688252142e-05,losing_lt_025,6.61790895968736e-05,losing_lt_025,6.61790895968736e-05,losing_lt_025,8.145118688252142e-05,losing_lt_025,6.61790895968736e-05,losing_lt_025
pool1h6l7mhtqqvkgq5hyvkrjrrwddulx7zc6mxlrsezsspymckuuext,Trump,9216.689878,True,True,0.0036935203270893626,losing_lt_025,0.0030009852773713814,losing_lt_025,0.0030009852773713814,losing_lt_025,0.0036935203270893626,losing_lt_025,0.0030009852773713814,losing_lt_025
pool1h6q8jj55dn6727yydlypu0rz4sflf2enxhs0thqydmddgu3shl5,HAZEL,4060955.819648,True,True,0.41647485859896693,losing_025_050,0.3758678582743781,losing_025_050,0.3758678582743781,losing_025_050,0.3054186758827897,losing_025_050,0.2648116755582008,losing_025_050
pool1h7eevnu53zdfujqfzldw4jgdjh475u0glvtruwrnmdmycn6jdzs,,805280.503823,True,True,0.3227103318583146,losing_025_050,0.2622022460834314,losing_025_050,0.23002773400748253,losing_lt_025,0.1055357136077606,losing_lt_025,0.10435120313807045,losing_lt_025
pool1h7nugww5y2q74435nadg6gggsj20nj5v3dq0w2gjwp3qvrpvgzh,DOGE,27.597982,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1h8625k6vszveym92qandxwjv3wmnekc548yzcepr5w88ys824pg,,77.848386,True,True,3.119716513346782e-05,losing_lt_025,2.5347696767767442e-05,losing_lt_025,2.5347696767767442e-05,losing_lt_025,3.119716513346782e-05,losing_lt_025,2.5347696767767442e-05,losing_lt_025
pool1h8fnr4vlfcv9l4jlv9epalghy3zgjpye4wv85c4rafpvvfztsk7,JANUS,663668.37377,True,True,0.26612139195140644,losing_025_050,0.21635460504616943,losing_lt_025,0.21635460504616943,losing_lt_025,0.17901269292177618,losing_lt_025,0.1555317883223943,losing_lt_025
pool1h92eaq3wksa7j3ecd8llyxva9kuyuz5ucm7a8hpwz8vhzj0wtsf,SSX,233851.270924,True,True,0.09371594205239818,losing_lt_025,0.07614564471414759,losing_lt_025,0.07614564471414759,losing_lt_025,0.09371594205239818,losing_lt_025,0.07614564471414759,losing_lt_025
pool1h9jr0f9evk3raxlljq6mt4gj7ej4v82afvnlc2wh28rwy2d8lsy,RUNIR,4794.706524,True,True,0.001921443911487274,losing_lt_025,0.0015611737695920022,losing_lt_025,0.0015611737695920022,losing_lt_025,0.001921443911487274,losing_lt_025,0.0015611737695920022,losing_lt_025
pool1ha4z9zne9z7he43qf0tzv9pdq8cdj63xfrj8s246u89lkcwmq7w,VADA,147332.877264,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1ha70qvqwnmnwpa7e575y9tgyx47aw29rvkz73mnf42z5wet5dr3,IOGP,1.48148,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1haus36sw7cwyg8jdeg882mentse5txac7fmeew8ketuwky6q602,BD1,316604.851258,True,True,0.12687715103438543,losing_lt_025,0.10308776494626846,losing_lt_025,0.10308776494626846,losing_lt_025,0.10329084030959418,losing_lt_025,0.10135320665989056,losing_lt_025
pool1hc8y5s28zah72qsnnky93zxqcqcrvav7hz2l3sdj5gk5znztcty,SNIPE,410870.143791,True,True,0.1646532355097157,losing_lt_025,0.13378080560654318,losing_lt_025,0.13378080560654318,losing_lt_025,0.10187550506789958,losing_lt_025,0.10154655730627454,losing_lt_025
pool1hcg8sa642l0xeygkzvpgn3sfj5s2yeuzpws7a0gypyy7grrjcje,,110580.78768,True,True,0.04431599286778879,losing_lt_025,0.03600801164870435,losing_lt_025,0.03600801164870435,losing_lt_025,0.04431599286778879,losing_lt_025,0.03600801164870435,losing_lt_025
pool1hd5r62ktu43k53tskpr8xja8pyt5k6vws2fxylqm7hp5ye954ea,,126.003727,True,True,5.0495065852154266e-05,losing_lt_025,4.102724428122579e-05,losing_lt_025,4.102724428122579e-05,losing_lt_025,5.0495065852154266e-05,losing_lt_025,4.102724428122579e-05,losing_lt_025
pool1hdglvd3xn5m0glqx3l8cy73ajdlxzn7ztlvzwuythj95kwnmvwe,,1214.2165,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1hdug72ukeepdxqxz0new8e3nhq5cykkn3prky9wgrz5tgyf4ty2,,1567.639059,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1heks0vmxkfka2amg9c8yn8qdsxvgmzelfx6jhpfkj8ht5mn0r2m,ADA,3969434.030887,True,True,0.49856222377751175,losing_025_050,0.48808221985962935,losing_025_050,0.2667594341666477,losing_025_050,0.1535590578443344,losing_lt_025,0.14307905392645207,losing_lt_025
pool1helzgcd9sjm9xtyh9mw2wy06gekh6r52s6mx987q0p8lvklwura,,1600260.760124,True,True,0.46514953222526273,losing_025_050,0.4609506496169143,losing_025_050,0.2395787063216633,losing_lt_025,0.12006973826501849,losing_lt_025,0.11587085565667009,losing_lt_025
pool1her5uyhxcxeyxws60jrft4kkczc2uxyz3z2sq24582z9kvwsng0,AIVS,316.914476,True,True,0.00012700113272986842,losing_lt_025,0.0001031884203430181,losing_lt_025,0.0001031884203430181,losing_lt_025,0.00012700113272986842,losing_lt_025,0.0001031884203430181,losing_lt_025
pool1hezakp5r240dy4fcsm7mfd3qqahcvyrhj8hl770yxmxxzdwvcre,HIT,3888464.44217,True,True,1.449906883419511,edge,1.1865298047956137,edge,1.1639211271981524,edge,1.414663944811704,edge,1.1512868661878062,edge
pool1hfn7yuwfyhmmqe4qpaxfewuly7cnemc6kqkv5npytj9vcrskh6j,AMINT,1206832.668876,True,True,0.4604040820902959,losing_025_050,0.393094632803789,losing_025_050,0.24010398083725865,losing_lt_025,0.12624441793216917,losing_lt_025,0.12031089368623211,losing_lt_025
pool1hfxjswx4wnpfmdad660hvzx4knjhf32uwgg6wgsnqp98x9zz927,IOGP,0.0,False,True,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded,0.0,excluded
pool1hfzfx33ffjcma9xautgrg4ka0u32s062mmu8gw6fmf2zxftmp66,AFICA,72103.246734,True,True,0.028895806118967568,losing_lt_025,0.02347862505640082,losing_lt_025,0.02347862505640082,losing_lt_025,0.028895806118967568,losing_lt_025,0.02347862505640082,losing_lt_025
pool1hg8vu74hyaj5qm66ys83c0gmr44j66g2k8s9sns4htw27whsqwf,FUJI,2064.890349,True,True,0.0008274911892288151,losing_lt_025,0.0006723379329866277,losing_lt_025,0.0006723379329866277,losing_lt_025,0.0008274911892288151,losing_lt_025,0.0006723379329866277,losing_lt_025
