pool_id,ticker,sigma_ada,pledge_met,unsaturated_k1000,D_base_k500_a0_0p3,D_A_k1000_a0_0p3,D_B_k1000_a0_0p6,D_C_k500_a0_0p6,f_base,f_A,f_B,f_C
pool19nhmxfd2tts089nx742g8jtc2ynwstkhp2594y0wwp6d5we25f6,,7497.583789,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19peeq2czwunkwe3s70yuvwpsrqcyndlqnxvt67usz98px57z7fk,PREEB,692332.179684,True,True,5.1449074586902655e-05,5.145022221474229e-05,0.0,0.0,205.619849951475,205.62064449115869,167.06806475937523,167.06677363238927
pool19pyfv4xnln8x4l7auw0n0skk3hd97shun707hrw5d4s553ys74x,TITAN,65530744.200463,True,False,0.0002932142977361348,0.00017256241523903109,0.0001399977781994853,0.00023798477179146272,19481.10667423623,11534.968333309573,9390.259891280026,15843.687642082317
pool19q034g07ka2ltwc3wwjeu79w29nlafc0w2ppne5ppu5wud60rgq,HEDGE,3690124.654855,True,True,0.00025098261360836786,0.0002510394083579909,0.00019542383096049073,0.00019533153949235327,1096.1571304161841,1096.3667101220346,891.1382967735227,890.7977297515159
pool19qgfp80d2sv3p2azmygfq87g7va4s3ewd6aaulas6eqsyz4r2yl,P2P2,19085462.148894,True,True,0.000237303162170398,0.000237303162170398,0.00018996961633625385,0.00018996961633625385,5668.2829640188065,5668.2829640188065,4605.479908265281,4605.479908265281
pool19r33az023gn3n8p2x35hq00j2dxc8vwln0nanpcfuvc8759cvkz,,5564.407628,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19r4ef6n0xkw3pvztuwd44ymrzrkylyralnf5rudnc7hnvvddyqz,IOGP,0.0,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19r8kcmqpajlm6h5q0lv8jye0q7evdur39wfsgs4z98fcqpz9lct,BLOOM,16557280.895228,True,True,0.0002664524942013628,0.0002675318260412666,0.00021540413898268572,0.00021365022474284203,4935.55082471466,4954.166241852629,4055.1112865948535,4024.861233745653
pool19rjjay24ez2ezgqkyqvna6uwc5ur9lt489gwvrv7ve5exlcld3x,MBCG,1478946.61488,True,True,6.712858460980395e-05,6.715574447322276e-05,1.1503159118741598e-05,1.1459024340686066e-05,439.2795929703552,439.31976095841907,357.0125582390889,356.9472852584852
pool19ru9alj7n5anmzs0f9gpzlj8kaq44yhcp45mldjvldxck8f6yg6,XRAY4,2078421.703979,True,True,0.00013207515321508276,0.00013207526698513845,7.694574993187429e-05,7.69455650555339e-05,617.2806717157372,617.2809105663968,501.5411279670184,501.54073983469675
pool19rz6ve8nz6uvq97yspwh3fvt7w03dsjsnmft6du83hvtc324dus,DGK,2218520.820751,True,True,0.00013660594814456802,0.00013665941251781924,8.382400069158073e-05,8.373712108504747e-05,659.0138317864796,659.1386863393493,535.7529376978085,535.5500490493952
pool19sk7acvpdxszed5hmckt0wmqxljalartue7d7d4a7qhwuw0n0ws,ELON,59.603626,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pool19sydze39a8dccylczqe2m4nnslpreytxlj5fu400nqxkg8wvgx8,BNP,44914.06328,True,True,0.0,0.0,0.0,0.0,13.339243227066834,13.33924333029662,10.838135373614403,10.838135205866001
pool19t833uyjq92aajf5f7qd9w3jcnyq78p4hsx0fn63aejfjtyn99j,OCT,1084.589756,True,True,0.0,0.0,0.0,0.0,0.322117612065548,0.3221177093279934,0.2617207968543423,0.26172063880286867
pool19tkfl9x2dkk07z43rvamftvnyu5vtcfatdpsag8phzqvgpdklqq,TIDE,33.692007,True,True,0.0,0.0,0.0,0.0,0.010006350792651325,0.010006350792651325,0.008130160019029203,0.008130160019029203
