pool_id,ticker,sigma_ada,declared_pledge_ada,active_pledge_ada,margin,fixed_cost_ada,pledge_met,unsaturated_k1000,f_current_k500_c_declared,apr_current_k500_c_declared,f_gt_c_current,f_A_k1000_c_declared,apr_A_k1000_c_declared,f_gt_c_A,f_B_k1000_c170,apr_B_k1000_c170,f_gt_c_B,f_C_k500_c75,apr_C_k500_c75,f_gt_c_C,f_D_k1000_c75,apr_D_k1000_c75,f_gt_c_D
pool10f5k6djk7m95dls80f5n2temjlkacsqd47758z2xal8g79kg9ct,,3072.467418,30000.0,1.831463,0.0,340.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool10fsg5ykzcjuzq5fzm9vj6d3yd0jjqgg6qnza6u8wtq0677vam2t,,97.023027,0.0,97.023027,0.02,340.0,True,True,0.028660648340602696,0.0,False,0.028660648340602696,0.0,False,0.028660648340602696,0.0,False,0.028660648340602696,0.0,False,0.028660648340602696,0.0,False
pool10fxpa6wkv0wc6wcmahcnz4wvvfx9m7547sevxrge3nfuv7yh8m0,GRANA,4262012.487617,30000.0,35562.995523,0.0,340.0,True,True,1259.145563502891,0.01574317915084924,True,1259.2907231440186,0.01574566545370102,True,1259.2907231440186,0.018657435429987212,True,1259.145563502891,0.020282114702118888,True,1259.2907231440186,0.020284601004970673,True
pool10gtnlhevam52ynwuzua7dqgv7vje4q87q25dzzfrjgw3wwjk2xw,STKCH,597.470252,100.0,173.993722,0.0,170.0,True,True,0.17649305353661662,0.0,False,0.17649311034858756,0.0,False,0.17649311034858756,0.0,False,0.17649305353661662,0.0,False,0.17649311034858756,0.0,False
pool10hex9l4wjgqarvhr94xgyh9frv5lhtajhrj4dah0kl65jtws30k,CSN1,13562150.580139,20000.0,23328.311214,0.0189,340.0,True,True,4006.575120263973,0.019362800061400762,True,4006.8846657809613,0.01936443473892918,True,4006.8846657809613,0.02026218697431803,True,4006.575120263973,0.020762237369506914,True,4006.8846657809613,0.02076387204703533,True
pool10jd7mphm0mmrnfvyytzs3tfrmjmtkvalfx8nql7tae06v0rkjk3,DOS,23038.755606,1000.0,1557.175541,0.0,170.0,True,True,6.805684537013993,0.0,False,6.805709706557799,0.0,False,6.805709706557799,0.0,False,6.805684537013993,0.0,False,6.805709706557799,0.0,False
pool10jn0wjlh9y3w2ygq84u2llvlnxfz3lc4g0ssqlmpp3w3y2d2lw5,EARN,7104483.057688,100000.0,106108.193574,0.05,340.0,True,True,2099.468641662117,0.017174951267879622,True,2100.2716987629005,0.017182790263269875,True,2100.2716987629005,0.018842235419837906,True,2099.468641662117,0.019761733423706265,True,2100.2716987629005,0.019769572419096514,True
pool10jqlkjfn2rtlc6hp95p8k4h04h3dfmdcgnga6umwp2rpukpg20l,CCIO,16350.180704,410000.0,1022.172676,0.01,340.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
pool10ldeq0mccp8t4gfmvfkwmfcvh2pvz44hj2hmewfpk9udjxug58y,BREAD,215231.051864,100.0,619.058768,0.0,170.0,True,True,63.5793796985843,0.0,False,63.5794042669068,0.0,False,63.5794042669068,0.0,False,63.5793796985843,0.0,False,63.5794042669068,0.0,False
pool10le7rwlfg3t9646gm09jp05qg5kqvq3gvut4q2yaeu2ujncnh7w,,2854.261122,0.0,439.569766,0.05,340.0,True,True,0.8431500935329104,0.0,False,0.8431500935329104,0.0,False,0.8431500935329104,0.0,False,0.8431500935329104,0.0,False,0.8431500935329104,0.0,False
pool10ljdn3zwsh7vjkxf6t250423l5qy487x83st7m8a53jxznrkw5g,,127062.59889,1200000.0,5020.24725,0.005,340.0,False,True,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False
